,bottleneck_dir,bottom-primary-color-white,bottom-primary-color-beige,bottom-primary-color-black,bottom-primary-color-brown,bottom-primary-color-grey,bottom-primary-color-blue,bottom-primary-color-navy,bottom-primary-color-teal,bottom-primary-color-green,bottom-primary-color-olive,bottom-primary-color-pink,bottom-primary-color-red,bottom-primary-color-maroon,bottom-primary-color-purple,bottom-primary-color-orange,bottom-primary-color-yellow,bottom-secondary-color-white,bottom-secondary-color-beige,bottom-secondary-color-black,bottom-secondary-color-brown,bottom-secondary-color-grey,bottom-secondary-color-blue,bottom-secondary-color-navy,bottom-secondary-color-teal,bottom-secondary-color-green,bottom-secondary-color-olive,bottom-secondary-color-pink,bottom-secondary-color-red,bottom-secondary-color-maroon,bottom-secondary-color-purple,bottom-secondary-color-orange,bottom-secondary-color-yellow,bottom-secondary-color-none,bottom-type-long pants,bottom-type-shorts,bottom-material-denim/jeans,bottom-material-cotton,bottom-material-dry-fit,denim-style-ripped,denim-style-acid-wash,denim-style-washed,bottom-patterns-animal-print,bottom-patterns-argyle,bottom-patterns-horizontal-stripe,bottom-patterns-vertical-stripe,bottom-patterns-checkered,bottom-patterns-dotted,bottom-patterns-floral,bottom-patterns-plaid,bottom-style-cargo,bottom-style-dress,bottom-style-chinos,bottom-style-sweatpants,bottom-style-none,bottom-fit-skinny-fit,bottom-fit-slim-fit,bottom-fit-regular-fit,bottom-fit-baggy
0,bottlenecks/Clean clothes/Bottoms/shorts73.jpg.txt,0.0014033467,0.050966613,0.7099224925,0.0900059938,0.0501863994,0.011441418,0.0110337669,0.0071752709,0.003063391,0.047283411,0.0034517141,0.0004218435,0.0104822973,0.0026966685,8.07813194114715E-05,0.0003845375,0.0021458331,1.39285077693785E-07,0.0008346309,2.7152487746207E-05,0.0018380618,4.59555085399188E-05,6.38365918348427E-06,1.46124303768147E-08,1.97751742234686E-05,1.4180336620484E-05,0.0009771895,0.0017571062,1.61269468890168E-07,1.12637235361035E-06,0.0001102321,2.74474359684973E-07,0.9922217727,0.0016320054,0.9983679652,0.3446090221,0.3229556084,0.3324353695,0.1257508546,0.005814855,0.0282513537,0.0006324566,0.000943528,0.0010176945,0.0183775071,0.0022855643,0.0016405924,0.0017568425,0.0001647983,0.0008938815,0.0016225916,0.8846610188,0.0001196006,0.1127028838,0.0542177036,0.8821449876,0.0623234026,0.0013139133
1,bottlenecks/Clean clothes/Bottoms/pants425.jpg.txt,0.0011954919,0.0004534422,0.8934062719,0.0007891673,0.0186780524,0.0033703442,0.070708178,0.0004797441,0.0002638752,0.006461998,6.05075547355227E-06,2.66176848526811E-05,0.0035972884,0.0002951286,0.0001980906,7.02760880813003E-05,0.015973432,2.27779992201249E-06,0.018720679,2.28270141633402E-06,0.018953288,0.0001110607,0.0009913661,1.31158674321341E-06,0.0002930888,0.0001671639,0.003245953,0.004573103,5.37317328053177E-06,9.93061689769093E-07,0.000248592,3.56388545696973E-06,0.9367064238,0.8145103455,0.18548958,0.2509137094,0.7144922614,0.0345939584,0.0587965026,0.0008638178,0.0550459474,0.7384523749,0.0024080491,0.0021267415,0.0145122577,0.0313714966,0.0285618678,0.0014605646,0.0020919412,0.00896361,0.0206334647,0.0055380738,0.0819771439,0.8828877807,0.0123978416,0.8210282326,0.0515159406,0.1150579676
2,bottlenecks/Clean clothes/Bottoms/shorts282.jpg.txt,0.0054953871,0.0014405771,0.1200455278,0.0072151436,0.175049156,0.3557308018,0.3244017065,0.0044746515,0.0016028706,0.0016419806,7.60861221351661E-05,6.27117842668667E-05,0.0002954991,0.0012513038,0.000126194,0.0010904816,0.013556025,6.31160219199955E-07,0.0142485127,8.65404799696989E-05,0.0017348666,0.000037916,2.35031166084809E-05,5.51388055214375E-08,0.0001017129,2.46657054958632E-05,0.0124716321,0.0011723425,9.55260546220416E-08,7.43059263186296E-06,0.0002684736,2.62944558926392E-06,0.9562629461,0.0041232971,0.9958766699,0.746873498,0.1713507324,0.0817758292,0.2157956809,0.0150801754,0.21448493,0.003584364,0.0005470046,0.00779803,0.0230796598,0.006830635,0.0135839395,0.0016785013,0.0003676153,0.0056461599,0.0036321718,0.0144668557,0.0014213889,0.9748333693,0.4503748417,0.4402138889,0.074341841,0.0350693539
3,bottlenecks/Clean clothes/Bottoms/pants470.jpg.txt,0.0001424363,0.0001728455,0.3782525957,0.0003220098,0.5439172387,0.0019719375,0.0683634058,0.0022665854,0.0007848292,0.0018521282,4.09143740398577E-06,5.22790742252255E-07,0.0003495633,0.0012021952,1.22788951557595E-05,0.0003853213,0.0017388701,1.16056398837827E-05,0.0017710663,1.06474162748782E-05,0.0015201127,0.0002594344,6.2786393755232E-06,4.17132781649343E-07,3.58751231033239E-06,7.91686147749715E-07,1.81843479367672E-05,0.0004326025,1.7236660596609E-06,8.49894888688141E-07,8.58597995829769E-05,2.93193738798436E-06,0.9941350818,0.9994122982,0.0005877278,0.4911263585,0.3947334886,0.1141401529,0.0213199854,0.0127024371,0.0035096435,0.0011179157,0.001903281,0.0026401256,0.0124053527,0.0077085514,0.0006489213,0.0008038542,0.0001423724,0.000600665,0.8191984892,0.0092435293,0.0212494042,0.1497079134,0.1655298173,0.6541563272,0.1728785336,0.0074353805
4,bottlenecks/Clean clothes/Bottoms/pants207.jpg.txt,0.0006031622,0.0034882142,0.7798694372,0.0022177789,0.0810021907,0.0048968904,0.1160618737,0.0016452332,0.0004724811,0.0010070929,1.9483481082716E-05,0.0007597291,0.0049566836,0.0024918136,0.0002097012,0.0002981021,0.00054922,1.88545880064339E-06,0.0028366812,7.27186561562121E-05,0.0004117006,0.0002417182,6.23502346570603E-05,9.57437293891417E-08,5.71890814171638E-06,9.10254016162071E-07,8.79341241670772E-05,0.0006130855,0.000000715,9.33653780066379E-07,0.0004782193,4.50369071813839E-07,0.9946356416,0.985816896,0.0141830407,0.5131116509,0.3441978693,0.1426904649,0.037092004,0.0095572192,0.004214175,0.0008093829,0.0005558724,0.0049084811,0.0111964084,0.0023129312,0.000118557,0.0041197836,0.0006465997,0.0020570592,0.0409383327,0.1186819747,0.0670463666,0.7712762952,0.0087173842,0.3119311035,0.6752066016,0.0041449373
5,bottlenecks/Clean clothes/Bottoms/jeans43.jpg.txt,0.0002664294,0.000412064,0.2164145261,0.0004720995,0.1028670073,0.0602054372,0.6127572656,0.0014407508,0.0004319897,0.000425296,8.46265174914151E-06,3.0961942684371E-05,0.0001558675,0.0035260278,8.5179264715407E-05,0.000500655,0.0008971597,5.97526050114539E-05,0.0015075514,6.69198707328178E-05,0.0015115651,0.0012750353,4.63721225969493E-05,1.57045724336058E-05,0.000061646,1.20591330414754E-05,0.000067836,0.001288832,4.27214490628103E-06,1.38717869049287E-05,0.0003019143,3.80195560865104E-05,0.9928314686,0.9953159094,0.0046841362,0.8324871659,0.1470604688,0.020452315,0.1854525656,0.0291326307,0.1952983737,0.0095572816,0.0103409737,0.0133295748,0.0294539016,0.0072134272,0.0006550676,0.0023009847,0.0011318551,0.0019436115,0.0218266509,0.0022162856,0.006065466,0.9679479599,0.1771943271,0.7450556159,0.0701023862,0.0076477006
6,bottlenecks/Clean clothes/Bottoms/shorts138.jpg.txt,0.000469107,0.0034418658,0.2131919414,0.0078788474,0.0214589015,0.0439232662,0.5775216222,0.0365395993,0.0054352353,0.0093325684,0.0002352977,0.0248308536,0.0120986598,0.0410604067,0.0021313899,0.0004504441,0.0002377689,2.960019074294E-08,9.41571270232089E-05,8.02229521923437E-07,0.0002537268,0.000012018,5.25865425515804E-06,3.17912585146018E-09,1.20616559797782E-05,3.88593980460428E-06,2.99245712085394E-05,0.0001200483,2.6311292700143E-08,9.07566857222264E-08,9.3676117103314E-06,1.56377723214973E-07,0.9992206097,0.023762932,0.9762370586,0.3134709895,0.3753359914,0.3111929595,0.0217144396,0.0030059132,0.0710157976,0.0006674547,0.0002273698,0.000576487,0.0033336261,0.0023728441,0.0133213745,0.0056859986,0.0001002671,0.0005791238,0.0101788519,0.9370825887,0.0014658213,0.0506935306,0.0585669838,0.9249382615,0.0145958243,0.0018988755
7,bottlenecks/Clean clothes/Bottoms/jeans261.jpg.txt,0.000107955,0.001470092,0.3256962001,0.0028044505,0.6157433391,0.014143534,0.0270222034,0.0026328196,0.0041474574,0.0028902909,1.17495474114548E-05,9.45210831559962E-06,0.0004741053,0.0026043584,9.00884188013151E-05,0.0001518959,0.0014975683,2.11931437661406E-05,0.0307298005,1.65491164807463E-05,0.0023616115,0.0002405221,0.0003372315,1.60678109750734E-06,3.05563371512107E-05,1.57376653078245E-05,5.35307990503497E-05,0.0008780993,7.26707412468386E-06,1.06079573924944E-06,0.0001579171,1.80503448063973E-05,0.9636317492,0.9829271436,0.017072821,0.6713669896,0.2721979916,0.0564349741,0.1386186182,0.0184448063,0.0109833162,0.0173240583,0.0026309129,0.0015789707,0.0590296499,0.0042196536,0.000488243,0.0003503325,0.0011515499,0.0167777855,0.0320249535,0.0069481377,0.0733963624,0.8708527684,0.1017733216,0.6826069951,0.2031722069,0.0124474894
8,bottlenecks/Clean clothes/Bottoms/shorts324.jpg.txt,0.0003170099,0.0009787163,0.0500441082,0.0048184167,0.4706116319,0.1284188479,0.2885302901,0.034304183,0.0063214395,0.0093021998,0.000004318,2.4489721909049E-05,0.0002222898,0.004569605,0.0004703094,0.0010622002,0.01233357,1.06914535535907E-06,0.0154687883,3.47772693203296E-05,0.0042998986,8.97636709851213E-05,0.0002616185,2.37594520058337E-07,0.0001345568,0.0001143726,0.0002379283,0.0007038697,4.79573031952896E-07,1.8650487618288E-05,0.0001962785,6.08672826274415E-06,0.9660980105,0.0500497408,0.9499502778,0.3005923033,0.3356215954,0.3637861013,0.0498444363,0.0644153133,0.0964968503,0.0076914607,0.0010099082,0.0056393435,0.0230855048,0.0069376659,0.0090098511,0.0009869528,0.0006064791,0.017355321,0.0236628503,0.0863196775,0.0330524817,0.839609623,0.0113518322,0.9259275198,0.0611258745,0.0015947309
9,bottlenecks/Clean clothes/Bottoms/pants262.jpg.txt,0.0002957247,0.0006241314,0.3580571413,0.0012833975,0.139407903,0.0028763895,0.4614315629,0.0110308137,0.0004712198,0.0026438592,0.000012145,2.51156525337137E-05,0.0033305439,0.0180084687,1.42237677209778E-05,0.0004873091,0.00040772,0.000002023,0.000317418,9.0487503712211E-07,0.0004100641,0.0001364525,0.000007084,1.31317904106254E-07,8.88586725977802E-07,2.24334641529822E-07,2.08745132113108E-06,0.0002709668,1.22652636491694E-07,6.84967389474878E-08,7.17288821761031E-06,2.02484173428275E-07,0.9984365106,0.9995076656,0.0004922736,0.363871187,0.3691053689,0.2670234144,0.0368442535,0.0039206129,0.0039873114,0.0006396113,0.0012899128,0.0008719533,0.00555166,0.0022113151,0.0005923657,0.0005395922,0.0005443565,0.0015184144,0.8896887898,0.0209662803,0.0101661868,0.0776602551,0.6326203346,0.3022744358,0.0589126796,0.0061925496
