,bottleneck_dir,shoes-primary-color-white,shoes-primary-color-beige,shoes-primary-color-black,shoes-primary-color-brown,shoes-primary-color-grey,shoes-primary-color-blue,shoes-primary-color-navy,shoes-primary-color-teal,shoes-primary-color-green,shoes-primary-color-olive,shoes-primary-color-pink,shoes-primary-color-red,shoes-primary-color-maroon,shoes-primary-color-purple,shoes-primary-color-orange,shoes-primary-color-yellow,shoes-secondary-color-white,shoes-secondary-color-beige,shoes-secondary-color-black,shoes-secondary-color-brown,shoes-secondary-color-grey,shoes-secondary-color-blue,shoes-secondary-color-navy,shoes-secondary-color-teal,shoes-secondary-color-green,shoes-secondary-color-olive,shoes-secondary-color-pink,shoes-secondary-color-red,shoes-secondary-color-maroon,shoes-secondary-color-purple,shoes-secondary-color-orange,shoes-secondary-color-yellow,shoes-secondary-color-none,shoes-type-boat/loafer,shoes-type-boots,shoes-type-sneakers,shoes-type-sport,shoes-type-sandals,shoes-type-dress-shoes,shoes-type-casual-shoes,shoes-others-toe-cap,shoes-others-gum-sole,shoes-others-with-logo,shoes-others-high-cut,shoes-materials-leather,shoes-materials-canvas,shoes-materials-suede,shoes-materials-rubber
0,bottlenecks/Clean clothes/Shoes/shoes162.jpg.txt,0.0001690605,0.0008628717,0.9667812586,0.0056082122,0.0173272267,0.0002992634,0.0014437007,0.0001125016,0.0002426805,0.0004280219,3.17454723699484E-05,0.0004461971,0.0057159155,0.0001456432,0.0002532164,0.000132504,0.047249008,0.0064951875,0.0469340347,0.065678671,0.0156273432,0.0021082109,0.0022422825,0.000788531,0.0006808994,4.39606847066898E-05,0.0002569282,0.0042585614,0.0040928568,0.0004454909,0.0037598859,0.0007397697,0.7985983491,0.0107760122,0.0040147952,0.0059067518,0.0028274658,0.0001108013,0.9556372762,0.0207268558,0.0358845815,0.0040397695,0.0179944374,0.1167071313,0.9074528813,0.020371886,0.072000131,0.0001751735
1,bottlenecks/Clean clothes/Shoes/shoes193.jpg.txt,0.0223179553,0.7313872576,0.0273623597,0.1458780169,0.0470709726,0.0070958114,0.004614979,0.0001725907,0.000517094,0.0027227302,0.0032439977,0.0016648709,0.0001370091,0.0008103662,0.0048690583,0.0001349544,0.2277786881,0.0544414185,0.0287611801,0.2037913054,0.0279647075,0.0099106692,0.0103533426,0.0018646106,0.0014077182,0.003396095,0.001457328,0.0005049882,9.10282105905935E-05,0.0006733327,0.0001957504,0.0001086433,0.4272991121,0.000117554,0.0975216478,0.1031091958,0.0086228577,0.0015739307,0.0947801843,0.6942746639,0.0096045705,0.0075546987,0.1560373753,0.0660539269,0.5334539413,0.0646629855,0.3950645626,0.0068185492
2,bottlenecks/Clean clothes/Shoes/shoes975.jpg.txt,0.0022246554,0.0005224632,0.9688055515,0.0010951679,0.003543172,0.0012132581,0.0159474444,0.0009581986,0.0001842479,0.0004150183,3.22157357004471E-05,0.0019229484,0.000206019,0.0024374807,0.0004435774,4.86426397401374E-05,0.1151722595,0.0221667979,0.0508804247,0.0133165587,0.001314892,0.0021956507,0.0056045,7.86516193329589E-06,0.0012830209,1.68634724104777E-05,0.000063991,0.0017905149,1.22263545563328E-05,0.0004641273,1.31024785332556E-06,5.58713945792988E-05,0.7856530547,0.0001957184,0.0454535112,0.8780427575,0.0573874488,1.67961534316419E-05,0.0075859521,0.0113177802,0.0446989983,0.00763884,0.472110033,0.9449902773,0.2098647058,0.2029737681,0.5843384266,0.0028230227
3,bottlenecks/Clean clothes/Shoes/shoes1689.jpg.txt,0.0131865479,0.0110136652,0.0110800304,0.018198872,0.0183557812,0.0197377447,0.0053063389,0.0042156405,0.0361276269,0.8320837021,0.0008699931,0.0089213923,0.0050587687,0.0038460318,0.0023654234,0.0096323574,0.2478831261,0.0331006683,0.0217997953,0.0520492308,0.5488951206,0.0106338272,0.0158640146,0.0029999695,0.0028238925,0.0001444671,0.005115516,0.0342780165,3.55959014086693E-06,0.0006508622,0.0018265651,0.0024600674,0.0194713753,1.06647121356218E-06,8.60941872815602E-05,0.9931842685,0.0062919897,0.000095703,1.63136355695315E-05,0.0003246392,0.0118011255,0.0469370633,0.9429982901,0.0436594263,0.5162909031,0.1167074963,0.3472141922,0.0197873544
4,bottlenecks/Clean clothes/Shoes/shoes302.jpg.txt,0.0548896007,0.0106772743,0.2523826957,0.4092205167,0.101070419,0.0064490922,0.1028125063,0.00052443,0.0097315125,0.0345627628,0.0037282379,0.0035682516,0.0039741821,0.0014217598,0.0046715997,0.0003152054,0.7093394995,0.011615783,0.0830319524,0.0808413699,0.0065726298,0.0003793264,0.0010501143,6.24974836682668E-06,0.0022830784,0.0002525779,0.0001663545,0.0046698083,2.17014476220356E-05,0.0001129895,9.52429491007933E-06,0.0006870477,0.0989598483,0.0330928601,0.0025639657,0.7926863432,0.0066721952,0.0076114135,0.0053947638,0.1519783735,0.020072693,0.0109648602,0.3178331256,0.0666496009,0.0539184138,0.2447926551,0.6989473104,0.00234166
5,bottlenecks/Clean clothes/Shoes/shoes2063.jpg.txt,0.0008995538,0.002151703,0.9113482833,0.0426757075,0.0352010243,0.000814631,0.0028528646,0.0002531747,0.000107768,0.0004948849,9.48588931350969E-05,0.0009378658,0.0013451799,0.000135895,0.0005474449,0.0001391717,0.0168089811,0.00196015,0.0885451213,0.0719011724,0.0046273638,0.0049328734,0.0141205862,6.99937882018276E-05,0.0002134027,2.91000524157425E-05,0.0001086628,0.002189537,0.0001396335,0.0008963862,0.0008394626,9.94356960291043E-05,0.7925181389,0.0002300364,0.0224012602,0.0321152285,0.0006679699,1.57994909386616E-05,0.9009155035,0.0436541475,0.0156032853,0.0054231947,0.0167465732,0.2419465929,0.9360569119,0.0062516723,0.057678666,1.27225612231996E-05
6,bottlenecks/Clean clothes/Shoes/shoes455.jpg.txt,0.0095905736,0.0251552537,0.2357692569,0.0595728308,0.1263613254,0.026811691,0.4852050841,0.0003669545,0.0034080895,0.0037949453,0.0048217233,0.0086263036,0.0045970674,0.0018980945,0.0036154445,0.0004053671,0.4470625222,0.0624923445,0.0208339281,0.1253008693,0.0201321598,0.0062107854,0.0079212775,0.0001756274,0.0032331806,0.0003422282,0.0002866088,0.0187696479,0.0001000258,0.0008917219,0.0022307157,0.0070628989,0.2769533396,0.0349097997,0.0030209953,0.6487691998,0.0053505828,0.0076316944,0.0281574316,0.2721603811,0.0142789818,0.0155683579,0.3446633816,0.0083725955,0.2439979315,0.2903787494,0.4593532979,0.0062700403
7,bottlenecks/Clean clothes/Shoes/shoes789.jpg.txt,0.0028046549,0.0318500735,0.2688458562,0.3082748652,0.095397234,0.001735804,0.010266819,0.0009070817,0.0002523391,0.0919023305,0.0487263426,0.0140513666,0.1142249033,0.0009146914,0.0057803215,0.0040653008,0.0094324937,0.0047506788,0.1107701361,0.0547672771,0.0025912274,0.0024234017,0.0020838687,5.83775035920553E-05,0.0011068647,0.000024411,2.96677917503985E-05,0.00392931,0.0008879068,0.0022933653,0.000003158,0.000016097,0.8048316836,2.62820890384319E-06,0.9965241551,0.0001437097,2.70256659860024E-05,7.9208706438294E-07,0.0024783502,0.0008233273,0.0055164527,0.0011290411,0.0126509098,0.9799304008,0.8484697342,0.0035361082,0.1479354501,0.00005864
8,bottlenecks/Clean clothes/Shoes/shoes1393.jpg.txt,0.0006719059,0.0001846993,0.9862294197,0.0015660052,0.0077941907,0.0008749799,0.0007077634,8.58060684549855E-06,4.80773087474518E-05,0.0013862537,2.75060592684895E-05,3.13026466756128E-05,1.27296243590536E-05,0.0002218665,0.0001865175,4.82329451187979E-05,0.6946149468,0.0057992321,0.0201676507,0.0058489423,0.0255608112,0.0030493808,0.0031566822,0.0002036492,0.0005848501,0.0002850967,0.0004032577,0.0007262378,2.92043228000693E-06,0.0019767894,1.89168258657446E-06,0.0027052471,0.2349124253,0.0012338535,0.0030987738,0.5876562595,0.3957605362,0.002856038,0.0018949957,0.0074995644,0.0239492096,0.0086832354,0.6717756987,0.0261188,0.2835656106,0.5003992319,0.1165261343,0.0995090082
9,bottlenecks/Clean clothes/Shoes/shoes134.jpg.txt,0.0001587571,0.001868598,0.1344178319,0.3552651405,0.0092863552,0.0010315226,0.0022415714,0.0002845322,0.0001020834,0.000680554,0.0001903723,0.0023115061,0.4894707203,0.0011263592,0.0011089501,0.0004551658,0.0294896904,0.005415292,0.1313482225,0.0767354071,0.0185694918,0.0007284952,0.0023007211,0.0010276369,0.0010628026,0.0007707906,0.0005326155,0.0026211301,0.0422968157,0.0001445051,0.0001331054,0.0048071975,0.6820160747,0.8746559024,8.36182953207754E-05,0.0002256116,9.73886926658452E-05,0.0004762776,0.1195331588,0.0049279477,0.0041831555,0.0022527473,0.0121048605,0.0030266466,0.9709408879,0.0033724688,0.0248099025,0.0008768194
