,bottleneck_dir,top-primary-color-white,top-primary-color-beige,top-primary-color-black,top-primary-color-brown,top-primary-color-grey,top-primary-color-blue,top-primary-color-navy,top-primary-color-teal,top-primary-color-green,top-primary-color-olive,top-primary-color-pink,top-primary-color-red,top-primary-color-maroon,top-primary-color-purple,top-primary-color-orange,top-primary-color-yellow,top-secondary-color-white,top-secondary-color-beige,top-secondary-color-black,top-secondary-color-brown,top-secondary-color-grey,top-secondary-color-blue,top-secondary-color-navy,top-secondary-color-teal,top-secondary-color-green,top-secondary-color-olive,top-secondary-color-pink,top-secondary-color-red,top-secondary-color-maroon,top-secondary-color-purple,top-secondary-color-orange,top-secondary-color-yellow,top-secondary-color-none,top-type-short-sleeve-t-shirt,top-type-long-sleeve-t-shirt,top-type-short-sleeve-shirt,top-type-long-sleeve-shirt,top-type-singlet,top-type-polo,t-shirt-style-graphic-text,t-shirt-style-graphic-image,t-shirt-style-round-neck,t-shirt-style-henley,t-shirt-style-pocket,t-shirt-fit-slim-fit,t-shirt-fit-longline,t-shirt-fit-baggy,t-shirt-fit-regular,shirt-style-oxford,shirt-style-dress,shirt-style-graphic,shirt-style-pocket,shirt-style-granddad-collar,shirt-fit-slim-fit,shirt-fit-regular-fit,top-patterns-animal-print,top-patterns-argyle,top-patterns-horizontal-stripe,top-patterns-vertical-stripe,top-patterns-checkered,top-patterns-dotted,top-patterns-floral,top-patterns-plaid,top-material-denim,top-material-dry-fit,top-material-cotton
0,bottlenecks/Clean clothes/Tops/graphictshirts304.jpg.txt,0.117565386,0.0030410008,0.5357199311,0.0070475955,0.142856136,0.0181634352,0.0674086809,0.0093948897,0.01100979,0.001346772,0.0006263382,0.0051219226,0.000988248,0.0795095861,0.000181745,1.85579283424886E-05,0.4816078544,0.0044073393,0.0458063707,0.0011236982,0.1502414644,0.0192614459,0.0134555344,0.0025587732,0.0016088317,0.0005173813,0.0007972957,0.0131944753,0.0059660757,0.0020445117,0.0009874324,0.0028612663,0.2535601556,0.9719825387,0.000024971,0.0226914305,2.55791815106932E-06,0.000008756,0.0052896645,0.0184407234,0.2549320161,0.9310345054,0.0033602619,0.1181946322,0.2037985623,0.0117873484,0.0079784729,0.7764356136,0.1663800627,0.0058996254,0.0028645778,0.0377792306,0.1034928486,0.9954109788,0.004589004,0.0026298824,0.0006977168,0.0298805218,0.0014080977,0.0041611688,0.1216804013,0.0064760353,0.0001405262,0.0004762469,0.0052748942,0.994248867
1,bottlenecks/Clean clothes/Tops/solidtshirts294.jpg.txt,0.0052306354,0.0023070623,0.0182600543,0.0103357099,0.3945448995,0.0326322578,0.0280761961,0.0107451836,0.0146473683,0.0110028945,0.0099540986,0.3315108716,0.0507384799,0.0733418241,0.0045522274,0.002120215,0.0562859997,0.0119714383,0.2455284894,0.0041034487,0.0632000938,0.0168256648,0.0152663579,0.0037064645,0.0151977353,0.0073059867,0.008689139,0.0468002707,0.0055765137,0.0097315051,0.0141724134,0.0421033949,0.4335350692,0.9919772744,0.0057462286,4.67022473458201E-05,7.57804400564055E-07,6.44947940600105E-05,0.0021645874,0.066166915,0.181863755,0.9199554324,0.0039641997,0.1423896998,0.0165978055,0.052565828,0.0619763248,0.8688600063,0.1737935394,0.0044359947,0.0484384187,0.0155165717,0.116216056,0.9852509499,0.0147489905,0.0027560086,0.0018419639,0.0758374557,0.0045871614,0.0027645298,0.0066330861,0.0054918057,0.0016804992,0.001271073,0.0049745017,0.9937544465
2,bottlenecks/Clean clothes/Tops/shortsleeveshirts222.jpg.txt,0.0005157212,2.2973668819759E-05,0.0001077326,1.14247968667769E-05,0.0037900051,0.9382653236,0.0139671974,0.0214254502,0.0003044668,0.0002852029,0.0003539227,0.0003450811,4.16594957641792E-05,0.0204879493,2.72486231551738E-05,4.87351753690746E-05,0.0030474986,0.000142422,0.000616582,0.000027408,0.000410892,0.0010553229,0.0002746879,0.0001058269,1.64845932886237E-05,1.90860610018717E-05,2.36286323342938E-05,0.0003200164,2.77177036878129E-06,0.0002610802,4.62958923890255E-05,0.000029482,0.9936004877,0.0030066611,0.0001657122,0.7678097486,0.1774278283,1.59971477842191E-05,0.0515740737,0.0275897346,0.0802078173,0.0135741793,0.4978904128,0.031133173,0.0195779055,0.0012193859,0.0101507641,0.9690519571,0.5424737334,0.0746860206,0.0012681348,0.2816972435,0.0284267552,0.8920248747,0.1079751104,0.0010357259,0.0004586507,0.0187706109,0.0091982605,0.0042032138,0.0569908544,0.0321912058,0.003584038,0.0345766805,0.0002537103,0.9651696682
3,bottlenecks/Clean clothes/Tops/solidtshirts144.jpg.txt,0.0054367068,0.0025204264,0.0079628294,0.0007674501,0.4409910738,0.3060114086,0.0681916177,0.1013593823,0.0125047043,0.0037090254,0.0009651094,0.0007217976,0.0004988982,0.0480342805,0.0001615896,0.000163734,0.0397168212,0.0012913083,0.0258295424,0.0006030992,0.0313201062,0.0054077054,0.0031270548,0.0016297909,0.001447306,0.0002509746,0.0015455851,0.0051277312,0.0010214233,0.0108860927,0.001056719,0.0042660567,0.8654726744,0.9878959656,0.0005065709,0.0002626206,0.000000115,0.0009210107,0.0104137817,0.0180746038,0.2207103968,0.7750106454,0.0181535613,0.6423039436,0.0303803571,0.0917434543,0.0716897175,0.8061864376,0.3562551141,0.0073181563,0.0089535117,0.0518098846,0.34927845,0.9015247822,0.0984751582,0.0021554253,0.0014784518,0.0120957354,0.005996211,0.0018954508,0.0032858551,0.0007964153,0.0006219652,0.0108645726,0.0127406968,0.9763946533
4,bottlenecks/Clean clothes/Tops/stripedtshirts5.jpg.txt,0.0059177834,0.0007104168,0.0014949092,0.0001162629,0.9862046242,0.001903191,0.0010108196,0.0009791147,0.0013581169,1.99667078959465E-06,3.18091224471573E-06,6.71654277084599E-07,1.19736228043621E-06,0.0002907825,6.90586966811679E-06,1.11155578963462E-07,0.0244867541,0.0015126412,0.7676736712,0.0023675764,0.1240082011,0.0089098504,0.0008352897,0.00160824,0.0002848312,0.0021976668,7.0819805841893E-05,0.0026099433,0.0001434479,0.0005351005,0.0012728391,0.001815173,0.0596679747,0.8969050646,0.0767837465,0.0025076922,7.16679351171479E-05,0.0005809165,0.023150865,0.012826412,0.1924714297,0.7407345772,0.0021061182,0.0505833663,0.0176618844,0.0220050663,0.0476770848,0.9126559496,0.1124026626,0.007166666,0.0184467956,0.4310286939,0.1646904051,0.956790626,0.0432094075,0.0012378289,0.0007192793,0.8187306523,0.0083305892,0.0008412841,0.0018761301,0.0011331723,0.0003010997,0.0792311579,0.0358654596,0.8849033713
5,bottlenecks/Clean clothes/Tops/graphictshirts1287.jpg.txt,0.0275502633,0.0011086471,0.465598911,0.0040119952,0.3553634286,0.0138587439,0.0454091877,0.0121479044,0.002023269,0.0059389868,0.0004001035,0.0040916083,0.0041696508,0.054001119,0.0042630145,6.31210932624526E-05,0.574883163,0.0092693921,0.1761681587,0.0082040224,0.1130855381,0.0151282959,0.0249421522,0.0050592129,0.0069539305,0.0008176914,0.0037090599,0.0290910024,0.001946223,0.0026711535,0.0083538415,0.006147014,0.013570128,0.9991224408,0.0005199209,1.91500803339295E-05,7.02739725966239E-07,0.00001493,0.0003228481,0.9441457987,0.464382112,0.9894857407,0.0004771993,0.0211403668,0.2249198109,0.0143429795,0.0051322002,0.755605042,0.0639519766,0.0031601696,0.013645214,0.0648577884,0.3349607885,0.9639414549,0.036058601,0.0008070386,0.0002776739,0.0067323605,0.002275273,0.0005802598,0.0024466771,0.0116412034,0.0001112273,0.0018083715,0.0006966257,0.9974950552
6,bottlenecks/Clean clothes/Tops/graphictshirts802.jpg.txt,0.0524152741,0.0076758456,0.4540685117,0.0057395855,0.1998870522,0.0390885174,0.0042210128,0.0616936497,0.0012590125,0.0038714691,0.0004858724,0.0051899734,0.0001469678,0.1637928337,0.000464088,3.29842549717796E-07,0.0503616482,0.003653547,0.2243181467,0.002417428,0.4229052365,0.0013842355,0.0001524669,0.00073274,0.000672708,0.001073333,0.000056612,0.0342769064,0.0058820108,0.0018284982,0.0165091604,0.0224481542,0.2113271207,0.9967851639,0.0004660301,0.0009732132,3.02170865325024E-05,2.52140926022548E-05,0.0017201997,0.0148935756,0.6040868759,0.9621982574,0.0183021482,0.0119223669,0.2735791504,0.0510324836,0.0114637688,0.6639246345,0.2610702217,0.0010238196,0.0016092737,0.0099862572,0.1337502599,0.9955770969,0.0044229007,0.001204747,0.0007804154,0.0308209546,0.0063327891,0.0038538969,0.325794071,0.0060353209,0.0004521214,0.0019848419,0.0101652741,0.9878498912
7,bottlenecks/Clean clothes/Tops/printedshirts231.jpg.txt,0.0028181535,0.0004257016,0.0030971083,2.40442045651434E-06,0.0090415487,0.9339891076,0.0168295763,0.0010361754,0.0110874083,0.0007805992,0.0078726234,0.0104923425,0.0001830389,0.0023237984,1.1352528417774E-05,9.17334455152741E-06,0.0672263205,0.0019897541,0.0078949472,2.85695368802408E-05,0.0073972056,0.0117745269,0.0024363913,7.06628197804093E-05,0.0008046113,0.0035164433,8.6720690887887E-05,0.0005714501,1.53330893226666E-05,0.0011962041,0.0002160487,0.0004422821,0.8943324685,0.0001979891,0.0093530444,0.0009039795,0.9892921448,6.53840288578067E-07,0.000252186,0.0012606604,0.032861568,0.5093148351,0.0737366751,0.0355689675,0.0036252281,0.0161980391,0.1554133296,0.8247633576,0.0722508132,0.6815031171,0.0004039913,0.2048470676,0.0047880975,0.582970202,0.4170297384,0.0009257716,0.0008654852,0.3919886947,0.7870191932,0.126381278,0.002912876,0.0038085608,0.0336145535,7.65487930038944E-05,0.0017654578,0.9981580377
8,bottlenecks/Clean clothes/Tops/singlets57.jpg.txt,0.0047644801,0.000649146,0.0003129297,0.0001401314,0.932051301,0.0570035987,0.0003565068,0.0007248297,0.000028455,0.0001553547,0.0002307091,0.0012824648,0.000027129,0.0018631802,0.0003827198,2.7144784326083E-05,0.0515415445,0.0003894223,0.1236030683,0.0011921471,0.2298978418,0.0220105909,0.027352944,0.003281519,0.0138143934,0.0066128378,0.0021883072,0.0112599786,0.0001163114,0.0348338038,0.0073709092,0.000901512,0.4636328816,0.0051564244,0.0013196379,0.000002087,3.01347768072446E-07,0.9930438399,0.0004776967,0.0166322999,0.0979814008,0.9353718162,0.0013510011,0.0214315057,0.4190380275,0.0749497488,0.0090732593,0.4969389737,0.5036105514,0.0031025182,0.0076885861,0.0799226612,0.1815948933,0.9679020047,0.0320979953,0.0004211258,0.0037828905,0.2602569461,0.0158282388,0.0015576103,0.0083695799,0.0136743877,0.0016636328,0.0008181396,0.0275970902,0.9715847969
9,bottlenecks/Clean clothes/Tops/printedshirts23.jpg.txt,0.0176597442,0.5322992206,0.0012304473,0.0007298256,0.2855470479,0.0596747175,0.0058015031,0.058548864,0.013421813,0.0083767259,0.0015060983,0.0045227334,0.0007147791,0.0049107475,0.004998805,5.69247713428922E-05,0.0020841276,1.25007863971405E-05,0.0021092335,5.86958522035275E-05,0.0003428994,0.001398694,0.0005411177,0.0001644785,3.41544146067463E-05,0.0003373373,5.70653755858075E-05,0.00404019,0.0001367121,0.0002176901,8.00223133410327E-05,0.0002054298,0.9881796837,0.0055438392,0.070897311,0.0109576238,0.9115818739,0.0001123071,0.0009070451,0.0649355724,0.1505853087,0.5619944334,0.0991577581,0.0334248841,0.0855174139,0.1288839579,0.1225842834,0.6630143523,0.090828456,0.0073283575,0.0022626282,0.1252845526,0.3189014792,0.9597585201,0.0402414687,0.0005082459,0.0002145841,0.0006085171,0.0087672872,0.0021186864,0.0020012057,0.00278834,0.0021998736,0.0088914074,0.0017390002,0.9893696308
