,bottleneck_dir,top-primary-color-white,top-primary-color-beige,top-primary-color-black,top-primary-color-brown,top-primary-color-grey,top-primary-color-blue,top-primary-color-navy,top-primary-color-teal,top-primary-color-green,top-primary-color-olive,top-primary-color-pink,top-primary-color-red,top-primary-color-maroon,top-primary-color-purple,top-primary-color-orange,top-primary-color-yellow,top-secondary-color-white,top-secondary-color-beige,top-secondary-color-black,top-secondary-color-brown,top-secondary-color-grey,top-secondary-color-blue,top-secondary-color-navy,top-secondary-color-teal,top-secondary-color-green,top-secondary-color-olive,top-secondary-color-pink,top-secondary-color-red,top-secondary-color-maroon,top-secondary-color-purple,top-secondary-color-orange,top-secondary-color-yellow,top-secondary-color-none,top-type-short-sleeve-t-shirt,top-type-long-sleeve-t-shirt,top-type-short-sleeve-shirt,top-type-long-sleeve-shirt,top-type-singlet,top-type-polo,t-shirt-style-graphic-text,t-shirt-style-graphic-image,t-shirt-style-round-neck,t-shirt-style-henley,t-shirt-style-pocket,t-shirt-fit-slim-fit,t-shirt-fit-longline,t-shirt-fit-baggy,t-shirt-fit-regular,shirt-style-oxford,shirt-style-dress,shirt-style-graphic,shirt-style-pocket,shirt-style-granddad-collar,shirt-fit-slim-fit,shirt-fit-regular-fit,top-patterns-animal-print,top-patterns-argyle,top-patterns-horizontal-stripe,top-patterns-vertical-stripe,top-patterns-checkered,top-patterns-dotted,top-patterns-floral,top-patterns-plaid,top-material-denim,top-material-dry-fit,top-material-cotton,dir
0,bottlenecks/Clean clothes/Tops/graphictshirts304.jpg.txt,0.1416374594,0.0198684819,0.5937408805,0.0070771542,0.0807645023,0.0226459838,0.059006691,0.02240761,0.0027547732,0.0017694014,0.0045461259,0.0047838399,0.0032645517,0.0352336317,0.0002779029,0.0002210909,0.5023625493,0.0048148311,0.0389517173,0.002062429,0.2183353007,0.0408269688,0.0169838667,0.0112974131,0.0026952864,0.0008235508,0.0071909269,0.0034734872,0.0021629867,0.0048873425,0.0014780955,0.0036001282,0.1380531639,0.9821165204,8.70366638992E-05,0.013379897,5.89417049923E-06,2.40724348259E-05,0.0043866537,0.0452344306,0.1248234063,0.9130468369,0.0085415365,0.0494950935,0.0939057395,0.0341093354,0.0485198349,0.8234650493,0.5649248958,0.0268730968,0.000303311,0.1598481387,0.0283709466,0.9887552857,0.0112446928,0.0016841543,0.0012212808,0.0429631025,0.0021786948,0.0100375181,0.0846838653,0.0197360683,0.0001511085,0.0046766256,0.0022850011,0.9930383563,Clean clothes/Tops/graphictshirts304.jpg
1,bottlenecks/Clean clothes/Tops/solidtshirts294.jpg.txt,0.0113404663,0.0082941726,0.0725348741,0.0263017248,0.3748526573,0.074796997,0.1174715832,0.0371733569,0.0253259353,0.0118625015,0.0192449,0.1306141913,0.055478435,0.0312331468,0.0017310204,0.0017440048,0.0772536024,0.0209692363,0.3999321163,0.0059077335,0.049248606,0.0219826978,0.027801035,0.0138736777,0.0286449362,0.0018381698,0.0104547795,0.0467727408,0.0175481774,0.0059288535,0.0217146203,0.0166173559,0.2335115969,0.9852723479,0.0082902797,6.55302064843E-05,0.000000802,0.0002945328,0.0060764719,0.0680224821,0.212807253,0.9687661529,0.0083754025,0.0994641557,0.1319214404,0.169162944,0.0561988391,0.6427167654,0.5878069997,0.0228425357,0.0023834014,0.04384204,0.4932100475,0.9890797734,0.0109202359,0.0037651761,0.0095903529,0.0953764915,0.0022769906,0.0093890373,0.0166129228,0.0140312398,0.0004275972,0.0223260745,0.0043228799,0.9733510613,Clean clothes/Tops/solidtshirts294.jpg
2,bottlenecks/Clean clothes/Tops/shortsleeveshirts222.jpg.txt,0.0130994394,0.0045754011,0.0016011725,0.0010629967,0.0382524468,0.7291395664,0.0522273891,0.0765604749,0.0112547614,0.0013329686,0.0390554853,0.0038793539,0.0013106493,0.0213717408,0.0003377676,0.0049382932,0.0070153046,0.0015845089,0.0012894651,0.0001437287,0.0027212719,0.0053838403,0.0026751559,7.24410565454E-05,5.82425600442E-05,0.0004258178,5.55106053071E-05,0.0003936947,0.0001033181,0.0001231679,0.0003273744,0.0002624248,0.9773647189,0.0055921655,0.0006788414,0.4969545603,0.4577573538,0.0002101743,0.0388068818,0.0271347407,0.0527637601,0.0171305165,0.3735240996,0.1165479794,0.0302514471,0.05055755,0.0876442567,0.8315467834,0.5370813608,0.1223741099,0.0018341034,0.3079145253,0.0324637294,0.9189261794,0.0810737982,0.0014540337,0.0016217198,0.0153477555,0.0295940153,0.0042625233,0.1181555092,0.0159574598,0.0043343347,0.0474975482,0.0019451841,0.9505572915,Clean clothes/Tops/shortsleeveshirts222.jpg
3,bottlenecks/Clean clothes/Tops/solidtshirts144.jpg.txt,0.0098580793,0.0106971208,0.0354310758,0.01014168,0.2379570305,0.3277312219,0.175095275,0.0994435102,0.0226145517,0.0088502532,0.0088317133,0.0018509222,0.003253455,0.0456948504,0.0006685445,0.0018807173,0.0578597896,0.0043858071,0.0359843895,0.0011393045,0.0318007246,0.016520923,0.0087350383,0.023143705,0.0061440743,0.0010254116,0.0073017678,0.0161705371,0.0023528296,0.0246675685,0.0071509434,0.0147060109,0.7409111857,0.9921395183,0.0010845559,0.0002687128,9.12866013891E-08,0.0003366809,0.0061704707,0.0117254611,0.164073348,0.8803875446,0.0134535022,0.4000167847,0.0607521869,0.0737124383,0.0800626427,0.7854726911,0.4891188741,0.0128236953,0.0013011612,0.1535556167,0.4373904765,0.9917784333,0.0082215834,0.0024720174,0.0062884898,0.0226965882,0.0019625262,0.0128393918,0.0133960303,0.0065307855,0.0003186253,0.013812677,0.0029665078,0.9832208157,Clean clothes/Tops/solidtshirts144.jpg
4,bottlenecks/Clean clothes/Tops/stripedtshirts5.jpg.txt,0.0757659078,0.0061364793,0.0089940056,0.0129888207,0.8591008782,0.0032227312,0.0168878362,0.0091181099,0.0054211495,0.0002355819,0.0004809585,8.67762355483E-05,2.57753563346E-05,0.001345224,0.0001484091,4.13714515162E-05,0.0438896604,0.0028590325,0.8452441692,0.0017446675,0.020289408,0.0298864488,0.0013790797,0.0058313911,0.0032483584,0.0027993203,0.0001025015,0.001134214,0.0011097017,0.0095579149,0.0010984901,0.0009904628,0.0288351942,0.8744062185,0.0538541637,0.0026641178,0.0001548334,0.0073747882,0.0615460165,0.0342748761,0.0907484889,0.858272016,0.0121122021,0.0973886624,0.1388808489,0.0530165657,0.0184196942,0.7896828055,0.1038660705,0.0728817582,0.0002498538,0.3016825616,0.0767018944,0.9903106093,0.009689373,0.0032360894,0.0121755311,0.4827978015,0.004801794,0.0083070574,0.0084349522,0.003746741,0.0002236423,0.0203304999,0.0212153643,0.9584541321,Clean clothes/Tops/stripedtshirts5.jpg
5,bottlenecks/Clean clothes/Tops/graphictshirts1287.jpg.txt,0.0330278017,0.0075147487,0.3505133688,0.0110692605,0.2763823271,0.0152042601,0.1511398554,0.0241906103,0.0057411944,0.006972658,0.0009162314,0.0072934213,0.0122606894,0.0934576169,0.0026513096,0.0016645929,0.5164904594,0.0643020347,0.1910838038,0.0076992894,0.1051921025,0.0114980843,0.0107313022,0.0114524504,0.0068200468,0.0019038767,0.0197538175,0.0252174679,0.0026381889,0.0056326301,0.010888868,0.0022157084,0.0064799772,0.9996581078,0.0001438102,6.30310159977E-06,4.42143637258E-08,1.45909161802E-05,0.0001771912,0.9698230028,0.3891899586,0.9955396056,0.0018253374,0.0162089765,0.0916765928,0.0205168072,0.0244536418,0.863353014,0.2444687039,0.0158823598,0.0009135669,0.0692929998,0.1199923828,0.9858117104,0.0141883101,0.0008070683,0.0041612955,0.0090946583,0.0007259871,0.0017434849,0.0076201567,0.0038462509,0.0002686485,0.0053991647,0.003189727,0.9914110899,Clean clothes/Tops/graphictshirts1287.jpg
6,bottlenecks/Clean clothes/Tops/graphictshirts802.jpg.txt,0.0555564649,0.0308264308,0.5916214585,0.0659146905,0.0846248344,0.0194010157,0.0214258302,0.0123671331,0.0031776633,0.0192868263,0.0224846788,0.0445887968,0.0019400229,0.0260917395,0.0006358527,5.65083282709E-05,0.1753089577,0.0035928923,0.0548593327,0.0652174428,0.4743192792,0.0010536915,0.0019160263,0.0148252407,0.0024456296,0.0041389605,0.0043446478,0.0128366388,0.0009898024,0.0177186653,0.052341152,0.0085135819,0.1055780798,0.9926615953,0.0002220186,0.0008524102,5.34442551725E-05,0.000102007,0.0061085662,0.0252482221,0.216030553,0.9325144291,0.0164256357,0.0261703599,0.2212226391,0.0423621312,0.0450479761,0.6913672686,0.1443809569,0.0110579785,0.0001256221,0.0861457512,0.0422201119,0.9802922606,0.0197077096,0.0011045355,0.0005847664,0.0672278181,0.0102838157,0.0080571268,0.3878821135,0.0904921293,0.0003581296,0.010777113,0.0198417194,0.9693812132,Clean clothes/Tops/graphictshirts802.jpg
7,bottlenecks/Clean clothes/Tops/printedshirts231.jpg.txt,0.0055308528,0.0065619336,0.0059416322,0.0007169612,0.0596380942,0.824436605,0.0301983953,0.0032189386,0.0240124669,0.0011613591,0.0165934209,0.0167789813,0.0013580188,0.0029438413,0.0001815101,0.0007269984,0.060090933,0.0047364496,0.0162042882,0.0009626646,0.0531569533,0.0030935393,0.0017872506,7.84834774095E-05,0.0075158705,0.0140093928,0.0001596331,0.0034620957,0.0010914579,0.000186895,0.0015051422,0.0003380134,0.8316209316,0.0022210476,0.0102042276,0.001286954,0.9859589934,2.47097650572E-05,0.0003039839,0.0019632147,0.0402280018,0.6807344556,0.0227687284,0.082919009,0.0095150378,0.04053488,0.053446237,0.8965038657,0.0617990568,0.5637404323,0.0084201377,0.2064340115,0.0155368056,0.3438236713,0.6561763287,0.002094818,0.0042269807,0.2708832622,0.6643826962,0.3133001626,0.0294961873,0.0423580334,0.0128463637,0.0062054479,0.004512988,0.9892815351,Clean clothes/Tops/printedshirts231.jpg
8,bottlenecks/Clean clothes/Tops/singlets57.jpg.txt,0.0415436439,0.0170436893,0.0009086037,0.0080954926,0.8384675384,0.0331010818,0.0021330197,0.0106568029,0.0011103509,0.0009339015,0.0143175023,0.0243945029,0.0004283484,0.0051852283,0.0006707711,0.00100946,0.2331924289,0.003635471,0.1226234064,0.0075499518,0.1736982614,0.0251521356,0.0545641966,0.0284701344,0.0028755928,0.0108772824,0.0006299164,0.0132698277,0.0031388535,0.0154062798,0.0086282063,0.0002317934,0.2960562706,0.0380219072,0.0065935939,2.35359366343E-05,4.39793836904E-07,0.9526375532,0.0027230564,0.0261206552,0.1524183601,0.8630910516,0.0142876282,0.1315460801,0.5164394379,0.2452012897,0.0604273975,0.1779318303,0.3656017482,0.0473081358,0.0002779652,0.148745507,0.0638745651,0.9978024364,0.0021975038,0.0027680169,0.0083526298,0.3551085293,0.0078312503,0.0054281815,0.0255758297,0.0062866043,0.0004522882,0.0025043332,0.0290182345,0.9684774876,Clean clothes/Tops/singlets57.jpg
9,bottlenecks/Clean clothes/Tops/printedshirts23.jpg.txt,0.012042718,0.4693262577,0.00150525,0.0019341457,0.2818917036,0.081874311,0.0836396068,0.0173066203,0.0149767455,0.0024928984,0.0053522987,0.0071157347,0.0028927396,0.0159295928,0.0004701104,0.0012492321,0.0124766789,9.67260712059E-05,0.0060455268,0.0003312857,0.000792074,0.0084338225,0.0215437934,0.0032223135,0.0006209759,0.0013417749,0.0002410649,0.0039064214,0.000698475,0.0006479656,0.000394702,0.000944779,0.9382616282,0.0098951394,0.2346998602,0.0153985005,0.7390787005,0.0002669677,0.000660827,0.1542679071,0.0396850072,0.6730248928,0.1822485477,0.1146050096,0.0054632933,0.1572977453,0.0548612997,0.7823776603,0.1149097085,0.0436868183,0.0004750046,0.3872829676,0.0357356034,0.9566361904,0.0433637798,0.0033747479,0.0004589514,0.0025036428,0.011631568,0.0015087087,0.0061386419,0.0128120678,0.0004422878,0.0365818292,0.0121756876,0.9512425065,Clean clothes/Tops/printedshirts23.jpg
