bottleneck_dir,vector,dir
bottlenecks/Clean clothes/Shoes/shoes162.jpg.txt,"0.001193122, 0.0015715626, 0.928319633, 0.0191339236, 0.0278603528, 0.0014569828, 0.0072547072, 0.0003023876, 0.0005675532, 0.0010177579, 0.0008467012, 0.0016420948, 0.008376888, 0.0002282992, 2.68892763415E-05, 0.0002011792, 0.0452393293, 0.006628104, 0.0918941125, 0.0636650175, 0.0095376493, 0.00343212, 0.0062275012, 0.0001877916, 0.0003751708, 0.0001924502, 0.0002993635, 0.0034718798, 0.0201436263, 0.0003306959, 0.001412312, 0.0018378797, 0.7451250553, 0.0174536053, 0.0103156865, 0.0290522054, 0.005296079, 0.0005696354, 0.919816494, 0.0174962468, 0.0695480108, 0.010190405, 0.0427296013, 0.2691077292, 0.8877376914, 0.027893398, 0.1051053107, 0.0012222251",Clean clothes/Shoes/shoes162.jpg
bottlenecks/Clean clothes/Shoes/shoes193.jpg.txt,"0.0719971508, 0.3932870328, 0.0722684413, 0.272012949, 0.1385392398, 0.0058606802, 0.0199252516, 0.0005933845, 0.0023471266, 0.0126161641, 0.0053562983, 0.0020018939, 0.0006328327, 0.0003729834, 0.0016021575, 0.0005863366, 0.0994340405, 0.0484616645, 0.0457059816, 0.1545947343, 0.0139945978, 0.0113760009, 0.0104717454, 0.0043288511, 0.0090533448, 0.0026064657, 0.000200664, 0.0017426946, 0.0003821147, 2.61264995061E-05, 0.0005550748, 0.0024807632, 0.5945851207, 0.0014145095, 0.1101504564, 0.1868149638, 0.0090866024, 0.023693651, 0.1577821672, 0.5110576153, 0.0344426595, 0.013573681, 0.146100387, 0.1857061386, 0.7104338408, 0.0638877004, 0.1674166322, 0.0038932299",Clean clothes/Shoes/shoes193.jpg
bottlenecks/Clean clothes/Shoes/shoes975.jpg.txt,"0.0029225731, 0.0007528582, 0.9775634408, 0.0006617985, 0.0076049226, 0.0007337125, 0.0044668419, 0.0003733032, 0.0006064445, 0.0003077661, 0.000562735, 0.0016964548, 0.0003715229, 0.0013168642, 4.36895352323E-05, 1.49546367538E-05, 0.2850127518, 0.0070720324, 0.0766731352, 0.0117064081, 0.0016524232, 0.0043734899, 0.0052541927, 1.15713992273E-05, 0.0009490675, 6.44731244392E-06, 0.0004438957, 0.0028703257, 0.0006185313, 7.41080802982E-05, 8.06259959063E-06, 0.001449228, 0.6018242836, 0.0027022713, 0.1845356971, 0.6078487635, 0.1393404901, 0.0009850446, 0.0277993679, 0.0367884338, 0.098889932, 0.0034289586, 0.4065520465, 0.8705679178, 0.119739905, 0.1043826491, 0.4492712319, 0.0004154748",Clean clothes/Shoes/shoes975.jpg
bottlenecks/Clean clothes/Shoes/shoes1689.jpg.txt,"0.0403849483, 0.0376483835, 0.0257370826, 0.0685734376, 0.1023223326, 0.0342404246, 0.0133037316, 0.0125510655, 0.0442716889, 0.4628285468, 0.0090587875, 0.0134416744, 0.0245489404, 0.0033494364, 0.0088075679, 0.0989320129, 0.3426690996, 0.0320353284, 0.0417155512, 0.0112284329, 0.4536466599, 0.0266576391, 0.0213608053, 0.000927638, 0.0026413586, 0.0003997975, 0.000646389, 0.0361722633, 0.0015864439, 0.0001997151, 0.0021746668, 0.0026294768, 0.0233087745, 3.23415515595E-05, 0.0009638526, 0.9740678668, 0.022570014, 0.000373152, 0.0002881213, 0.0017047875, 0.0280085579, 0.0469067208, 0.8550534844, 0.0570939593, 0.1579942703, 0.0330982916, 0.2436975539, 0.0011181457",Clean clothes/Shoes/shoes1689.jpg
bottlenecks/Clean clothes/Shoes/shoes302.jpg.txt,"0.0590982735, 0.0168599635, 0.1675218046, 0.1773283929, 0.1688304693, 0.0105333151, 0.2637014389, 0.024219336, 0.0118100615, 0.0397410132, 0.0292739943, 0.0173557717, 0.0078444267, 0.002623365, 0.0023530105, 0.0009053859, 0.3987380564, 0.0238084849, 0.0264889263, 0.0915834904, 0.0143411383, 0.0018678418, 0.001518562, 0.000010974, 0.0027686192, 0.0005246598, 0.0003767375, 0.0091716386, 0.0010483614, 2.45825140155E-05, 1.27697558128E-05, 0.0080466531, 0.4196684659, 0.0608471073, 0.006947225, 0.5102253556, 0.0196888074, 0.0353772193, 0.0077109938, 0.359203279, 0.0707152635, 0.0278617125, 0.1687887758, 0.09786129, 0.0702067316, 0.0951977149, 0.7193658352, 0.0084056379",Clean clothes/Shoes/shoes302.jpg
bottlenecks/Clean clothes/Shoes/shoes2063.jpg.txt,"0.0031481434, 0.004343085, 0.857986629, 0.0576049015, 0.0501852073, 0.0034480805, 0.0121172816, 0.000334171, 0.0006367134, 0.00193404, 0.0012474122, 0.0045385859, 0.0015514462, 0.0006487725, 7.46807781979E-05, 0.000200883, 0.0145906294, 0.0011690478, 0.1002007276, 0.0394805074, 0.0059577529, 0.0049738744, 0.0080806166, 2.57489318756E-05, 0.0002067696, 3.37267920258E-05, 6.22143561486E-05, 0.0047302772, 0.0009006063, 0.0001647078, 0.0008014598, 0.001271901, 0.8173494935, 0.0011304261, 0.0803316012, 0.039772328, 0.0011456049, 0.0003418788, 0.8542891741, 0.0229889434, 0.0378226228, 0.0217085183, 0.0229429379, 0.6280594468, 0.9406123757, 0.0310360193, 0.1116588786, 0.0005254351",Clean clothes/Shoes/shoes2063.jpg
bottlenecks/Clean clothes/Shoes/shoes455.jpg.txt,"0.0146545684, 0.0126340939, 0.1946503669, 0.0604125932, 0.1139481068, 0.0603636727, 0.4914467037, 0.0031182771, 0.0091347042, 0.0055956971, 0.0068055866, 0.0095689557, 0.0105857644, 0.0025031818, 0.0035192485, 0.0010585461, 0.4448306859, 0.0757225305, 0.049787987, 0.1081605479, 0.0126168178, 0.0056591718, 0.006379846, 7.18422597856E-05, 0.0013971485, 0.0008184173, 0.000711465, 0.0073698037, 0.0007913242, 0.0001925716, 0.0025273021, 0.0052179703, 0.2777445614, 0.0291313175, 0.0018669423, 0.6433115005, 0.0339140035, 0.0204690956, 0.1079108939, 0.1633962244, 0.0193108097, 0.0307068415, 0.268720746, 0.0384470783, 0.132246092, 0.1985054761, 0.4244520068, 0.0057560722",Clean clothes/Shoes/shoes455.jpg
bottlenecks/Clean clothes/Shoes/shoes789.jpg.txt,"0.0018018727, 0.0084255841, 0.241359815, 0.1992989779, 0.0989573225, 0.0056820884, 0.0162167698, 0.0008822182, 0.0032752031, 0.0916782394, 0.0153807569, 0.0064851339, 0.2909907699, 0.0134898117, 0.0027204116, 0.0033550214, 0.0286042858, 0.0049172672, 0.2023713291, 0.2055703849, 0.0092670238, 0.0034737871, 0.0094300704, 1.41889267979E-05, 0.0081873052, 6.65070765535E-05, 0.0001052934, 0.0019857667, 0.0044635502, 0.0020047559, 0.0004812279, 0.0021171586, 0.5169401765, 0.0001924506, 0.9632680416, 0.0025908481, 0.0013749468, 0.0003671737, 0.0230309013, 0.0091756666, 0.0135332625, 0.004833702, 0.0167860873, 0.9835252762, 0.5149512291, 0.0140863433, 0.4133723974, 0.0003600017",Clean clothes/Shoes/shoes789.jpg
bottlenecks/Clean clothes/Shoes/shoes1393.jpg.txt,"0.000583323, 0.000255454, 0.9817963243, 0.0009266826, 0.0068118488, 0.0002358871, 0.0068874988, 0.0001128476, 0.0004751835, 0.0009195171, 0.0005964372, 9.62837802945E-05, 0.0001684054, 3.6411194742E-05, 6.89205262461E-05, 2.89078961941E-05, 0.3017641008, 0.0214791447, 0.0206354968, 0.0058942819, 0.0328087471, 0.0031163595, 0.0046770792, 0.0005258644, 0.0010318263, 0.000477703, 0.0018406197, 0.0006833752, 0.0004215936, 0.0005893402, 4.67426661999E-06, 0.0083800768, 0.5956696868, 0.0042154919, 0.0050523439, 0.2715130448, 0.6816093922, 0.0233627837, 0.0098883826, 0.0043585529, 0.0770147666, 0.0072945962, 0.5519219041, 0.0634968206, 0.1089471802, 0.397141099, 0.0426409505, 0.0146247111",Clean clothes/Shoes/shoes1393.jpg
bottlenecks/Clean clothes/Shoes/shoes134.jpg.txt,"0.0005186084, 0.0022082799, 0.2649224699, 0.2241487056, 0.0064061824, 0.0007025466, 0.0025474734, 0.0002011273, 0.000304841, 0.0010940968, 0.001277782, 0.010028895, 0.4833821952, 0.0013443908, 0.0001661297, 0.0007462906, 0.0233939551, 0.0049561071, 0.161990419, 0.0788774192, 0.0021432682, 0.0006250101, 0.004237243, 0.000504447, 0.0002033568, 0.0004633204, 0.000111498, 0.0001433131, 0.039239496, 6.18934063823E-05, 8.29039272503E-05, 0.0016242539, 0.6813420653, 0.7260476947, 8.59641222632E-05, 0.0028386011, 0.0021022132, 0.0009635286, 0.2611780763, 0.0067838402, 0.0103515787, 0.0074386178, 0.0422928408, 0.0153408386, 0.9049401879, 0.0197222847, 0.1207870692, 0.002312151",Clean clothes/Shoes/shoes134.jpg
