,bottleneck_dir,bottom-primary-color-white,bottom-primary-color-beige,bottom-primary-color-black,bottom-primary-color-brown,bottom-primary-color-grey,bottom-primary-color-blue,bottom-primary-color-navy,bottom-primary-color-teal,bottom-primary-color-green,bottom-primary-color-olive,bottom-primary-color-pink,bottom-primary-color-red,bottom-primary-color-maroon,bottom-primary-color-purple,bottom-primary-color-orange,bottom-primary-color-yellow,bottom-secondary-color-white,bottom-secondary-color-beige,bottom-secondary-color-black,bottom-secondary-color-brown,bottom-secondary-color-grey,bottom-secondary-color-blue,bottom-secondary-color-navy,bottom-secondary-color-teal,bottom-secondary-color-green,bottom-secondary-color-olive,bottom-secondary-color-pink,bottom-secondary-color-red,bottom-secondary-color-maroon,bottom-secondary-color-purple,bottom-secondary-color-orange,bottom-secondary-color-yellow,bottom-secondary-color-none,bottom-type-long pants,bottom-type-shorts,bottom-material-denim/jeans,bottom-material-cotton,bottom-material-dry-fit,denim-style-ripped,denim-style-acid-wash,denim-style-washed,bottom-patterns-animal-print,bottom-patterns-argyle,bottom-patterns-horizontal-stripe,bottom-patterns-vertical-stripe,bottom-patterns-checkered,bottom-patterns-dotted,bottom-patterns-floral,bottom-patterns-plaid,bottom-style-cargo,bottom-style-dress,bottom-style-chinos,bottom-style-sweatpants,bottom-style-none,bottom-fit-skinny-fit,bottom-fit-slim-fit,bottom-fit-regular-fit,bottom-fit-baggy,dir
0,bottlenecks/Clean clothes/Bottoms/shorts73.jpg.txt,0.0120760575,0.0857935771,0.3810115457,0.3283463717,0.0715318024,0.0388497226,0.0209563524,0.0033214509,0.005358757,0.0168463644,0.0029796434,0.0015688543,0.0206579659,0.0019436025,0.0086447978,0.0001131201,0.0019823019,0.0013921695,0.0032673099,0.0001653846,0.0012921166,7.51172265154E-05,2.27895707212E-05,3.65826272173E-05,3.98754991693E-06,0.0001222342,0.0002680377,0.0012943514,2.3504321689E-06,0.0002230361,0.000197393,0.000060725,0.9895941019,0.0048016999,0.9951983094,0.6921399236,0.1690751463,0.1387848854,0.0070635076,0.0013381151,0.0182415657,0.0006940134,0.0003862035,0.0010383892,0.0015045797,0.0004977807,0.0090560131,0.000482003,0.0011544559,0.0018522332,0.0155801643,0.6965504289,0.0041897758,0.2818273008,0.0824928582,0.8205445409,0.0854137167,0.0115489261,Clean clothes/Bottoms/shorts73.jpg
1,bottlenecks/Clean clothes/Bottoms/pants425.jpg.txt,0.0025742953,0.0011358779,0.8714479208,0.0021191272,0.0154045103,0.0014065045,0.0646203831,0.001280762,0.0045004473,0.0120052164,0.0002694787,0.0007775023,0.0102647236,0.0045819734,0.0075719999,3.9139380533E-05,0.0190701969,9.726369899E-05,0.0058692805,0.0022810602,0.0274329856,6.10177667113E-05,3.79953416996E-05,5.08057673869E-05,4.63916294393E-05,0.0002078804,0.0005360479,0.0003138244,3.80329174732E-06,0.0002695837,0.0001839675,0.000046681,0.9434912205,0.6880260706,0.3119739294,0.4378118813,0.3684889674,0.1936991513,0.0377175175,0.0006539966,0.0135323778,0.0023983915,0.0008856052,0.0017423159,0.0126221441,0.0061405948,0.0049654483,0.0151382769,0.0071685151,0.0278615467,0.0890090838,0.0139285084,0.3093913198,0.5598095059,0.011564103,0.8561600447,0.1038525328,0.0284233745,Clean clothes/Bottoms/pants425.jpg
2,bottlenecks/Clean clothes/Bottoms/shorts282.jpg.txt,0.006839422,0.0128471609,0.0829732493,0.0074570286,0.1252472252,0.3734881878,0.3664774895,0.0054250709,0.0014540877,0.0057461765,0.0012076569,0.0008674006,0.0042695035,0.0020782058,0.0035281384,0.000094052,0.007784911,9.2802933068E-05,0.0216545202,0.0005863094,0.0013122701,0.0006399477,1.25576061691E-05,0.0002050315,0.000028541,0.0002174907,0.0081058843,0.0025029625,2.4046926228E-06,0.0009463145,0.0003462021,0.0004985109,0.955063343,0.0157310609,0.9842689037,0.1060247049,0.8059478998,0.0880274251,0,0,0,0.000604618,0.0027634401,0.0171813704,0.0038028718,0.0032817537,0.0049896315,0.001320899,0.0009908496,0.0032157958,0.003833022,0.0580351017,0.0007646129,0.9341514111,0.144688949,0.7734678984,0.071954377,0.0098887477,Clean clothes/Bottoms/shorts282.jpg
3,bottlenecks/Clean clothes/Bottoms/pants470.jpg.txt,0.0001449287,0.0001441847,0.5976133347,0.0002031337,0.3445994556,0.0019731529,0.0446760766,0.0010613021,0.0002854666,0.0043472857,2.39713608607E-05,1.31840670292E-05,0.0018518227,0.0028713602,0.0001409445,5.04316958541E-05,0.0003784233,1.56397272804E-05,0.0011031905,3.04278673866E-05,0.0041615954,0.000007133,0.000005045,0.0001398934,5.01184840687E-05,0.000054675,1.91720528164E-06,0.0009028234,9.38850462262E-06,9.18942678254E-05,5.10391801072E-05,2.29765701079E-05,0.9929738045,0.9899712801,0.010028651,0.8011769056,0.1786687225,0.0201544184,0.2608435452,0.0070007378,0.0461300611,0.0212053526,0.0012571225,0.0061431094,0.0150664067,0.0054934076,0.0004730122,0.0143158203,0.0049732174,0.001808417,0.6204627752,0.0199101847,0.0644820854,0.2933365405,0.0432090461,0.7438863516,0.1905217022,0.0223828238,Clean clothes/Bottoms/pants470.jpg
4,bottlenecks/Clean clothes/Bottoms/pants207.jpg.txt,0.0010632474,0.0043511381,0.684527874,0.0021546178,0.1663416475,0.0187924523,0.0807221234,0.002855547,0.0010144223,0.0034959007,0.0004157539,0.000963465,0.0074117952,0.0191241056,0.0067411414,2.46947583946E-05,0.0002297782,0.0001564377,0.00250462,0.0002835857,0.0096693737,0.0002115503,2.53656653513E-05,2.85219139187E-05,5.95705068918E-06,2.57675510511E-05,1.27533321574E-05,0.0017908268,0.000005356,0.0001104566,0.0002614448,2.18951390707E-05,0.9846562743,0.9736720324,0.02632799,0.7133840322,0.2235814929,0.0630344674,0.0906647742,0.0189175103,0.044896055,0.0072441436,0.0001226174,0.0014274957,0.0072830142,0.0246632602,0.0011207515,0.0013190523,0.0017584749,0.0031969016,0.0305893328,0.1386477649,0.072933048,0.7546328902,0.0563610904,0.4814828634,0.4439998865,0.0181560926,Clean clothes/Bottoms/pants207.jpg
5,bottlenecks/Clean clothes/Bottoms/jeans43.jpg.txt,0.0002339813,0.0006588639,0.0824075341,0.0005696029,0.2061915398,0.0747195929,0.6225868464,0.0035285773,0.0033255874,0.0007245941,0.0003101456,9.14608390303E-05,0.0014819921,0.0013458293,0.0015510999,0.0002728267,0.0003028195,0.0001403539,0.0024587645,0.0002079175,0.002763256,0.0001552626,1.93216583284E-05,6.08706177445E-05,7.2835078754E-05,4.32173583249E-05,5.50552749701E-06,0.001728899,5.80992127652E-05,0.0003287146,0.0003864057,7.84240983194E-05,0.9911893606,0.9908485413,0.0091514569,0.7094171643,0.0853861347,0.2051967084,0.2315201312,0.044240918,0.2956648767,0.0366841145,0.0027396868,0.0188007597,0.030855434,0.0459383279,0.0023805662,0.0249245036,0.008686142,0.0025569634,0.0628672913,0.022735294,0.0059977863,0.9058426023,0.217105031,0.4852734208,0.2638316751,0.0337898768,Clean clothes/Bottoms/jeans43.jpg
6,bottlenecks/Clean clothes/Bottoms/shorts138.jpg.txt,0.0014777642,0.0039236438,0.2548170686,0.0087950639,0.0484665707,0.0631055236,0.3950002193,0.010745327,0.0061806226,0.0351834446,0.0040783067,0.0436449647,0.082032077,0.0187456682,0.0235153642,0.0002883745,0.0026217308,0.0009826851,0.0004462903,0.0001518011,0.0001219127,0.0001203935,3.55327865691E-05,1.00302377177E-05,2.98256964015E-06,8.10541241663E-05,0.000105099,0.0005140661,4.47924639957E-06,8.00473499112E-05,7.88264733274E-05,7.60525872465E-05,0.9945670366,0.0056621172,0.9943378568,0.8018574119,0.1568406373,0.0413019732,0.009094323,0.0003429441,0.0368992016,0.0012991559,0.0007046135,0.0023896499,0.0029254227,0.0004499596,0.0133471768,0.0015818035,0.0005963478,0.0015479797,0.0044281431,0.803614974,0.0096653886,0.1807435453,0.0772273913,0.8616217375,0.0423624776,0.0187884234,Clean clothes/Bottoms/shorts138.jpg
7,bottlenecks/Clean clothes/Bottoms/jeans261.jpg.txt,0.000265641,0.0014932485,0.3819443285,0.0029511657,0.4405886233,0.0238933843,0.1071745455,0.0141415354,0.0069353236,0.0087699145,0.000246684,5.27667107235E-05,0.0021098624,0.0064056707,0.0028799127,0.0001473692,0.0002101697,0.000160695,0.0057988721,0.0001753298,0.0411901325,0.0001074889,6.49755966151E-05,0.0002054768,4.16371585743E-05,0.0001997659,4.34562170994E-05,0.0014940583,4.77685243823E-05,0.0003919536,4.6746154112E-05,0.0001395991,0.9496818185,0.9940749407,0.0059249848,0.8686149716,0.0913100764,0.0400749296,0.1158952266,0.014494177,0.0643618256,0.0087702051,0.0028163441,0.0047046798,0.0485215113,0.0188785549,0.0009351032,0.011563926,0.0105190212,0.015075475,0.173629418,0.0445007421,0.1062411666,0.6605531573,0.0338002518,0.8422263265,0.1143470183,0.0096263718,Clean clothes/Bottoms/jeans261.jpg
8,bottlenecks/Clean clothes/Bottoms/shorts324.jpg.txt,0.0002382933,0.0039934493,0.1403448284,0.0068823495,0.4942317903,0.0540768057,0.2512180507,0.0216047801,0.0047785412,0.0116318921,0.0002124903,0.0002405866,0.0014279768,0.0065615773,0.0023431194,0.0002135377,0.002814237,0.0001079069,0.0055369819,0.0005843543,0.025949046,0.0002520201,0.0001501807,0.0002862931,2.63601068582E-05,0.0002424026,4.13471825595E-05,0.0015321169,2.09382506E-05,0.0007049374,0.0004108087,0.0002962934,0.9610437751,0.1582983732,0.8417016268,0.0851413682,0.8965024352,0.0183562357,0,0,0,0.0125246942,0.0014817753,0.0042694607,0.027330311,0.0056491951,0.0099956905,0.0051283538,0.0096536363,0.0023816817,0.0275720041,0.1626917571,0.0203186255,0.7870358825,0.0442057475,0.8647674918,0.0826908424,0.0083359014,Clean clothes/Bottoms/shorts324.jpg
9,bottlenecks/Clean clothes/Bottoms/pants262.jpg.txt,0.000720487,0.0010081795,0.6192932129,0.002484469,0.20204629,0.0048028845,0.1166279614,0.0015644376,0.0028793532,0.0187386461,7.42171469028E-05,0.0004384359,0.0045246491,0.0226345658,0.001976212,0.0001859291,0.0002062926,2.06112781598E-05,0.0012420239,3.98345982831E-05,0.0002777168,2.76125069831E-06,1.40125689541E-06,0.000054443,5.20973753737E-06,2.5853223633E-05,2.09464724321E-06,0.0003868212,2.98614486383E-06,1.32496315928E-05,0.000017341,9.64682476479E-06,0.9976917505,0.9977006316,0.0022993654,0.7022910714,0.2660897374,0.0316191502,0.1660717279,0.0034170256,0.0269223973,0.0063489941,0.0004903788,0.0038547849,0.010102015,0.0058915378,0.0005632473,0.0042881672,0.0013184487,0.0014961192,0.7605456114,0.0153779211,0.0645455569,0.1580347419,0.2238631397,0.6761401892,0.0876794234,0.0123171797,Clean clothes/Bottoms/pants262.jpg
10,bottlenecks/Clean clothes/Bottoms/shorts200.jpg.txt,0.0012768888,0.0357344896,0.1612714529,0.0066585015,0.1089392975,0.0815213174,0.3395237625,0.0908769295,0.0418971255,0.0863402858,0.0015235209,0.0007098705,0.0053667384,0.0226626229,0.0155877108,0.0001096016,0.0004310367,0.0002287473,0.0007323421,0.0006634147,0.004347452,0.0001189561,0.0019210515,5.69778858335E-05,8.82734275365E-06,7.56004301365E-05,4.66998935735E-05,0.000099588,1.36602229759E-05,0.0002448356,7.93521248852E-05,0.0001066007,0.9908248782,0.4571251273,0.5428748727,0.8430715203,0.1272795349,0.0296489596,0.0458866879,0.0134724639,0.0317152627,0.0026823515,0.001950124,0.0020962888,0.0268003829,0.0045556058,0.0033085048,0.0067877201,0.0032258115,0.0215182677,0.015258722,0.4002072215,0.0268880595,0.5361276865,0.0488363504,0.8193351626,0.1290299743,0.0027985312,Clean clothes/Bottoms/shorts200.jpg
11,bottlenecks/Clean clothes/Bottoms/jeans82.jpg.txt,6.41767692287E-05,0.0086404374,0.309789151,0.0055951583,0.1161559448,0.0954656228,0.4505678713,0.0034903686,0.0026702264,0.0034338594,4.28139028372E-05,3.86068677471E-05,0.0013797397,0.0018498588,0.0007891552,2.69685206149E-05,0.000049969,1.50712858158E-05,0.0014466296,1.52121347128E-05,0.0003661144,3.46856495526E-06,1.66922359313E-06,1.04033679236E-05,2.65224252871E-06,2.73736327472E-06,8.31137185742E-07,0.00016333,4.52660401606E-07,3.8846694224E-05,9.94361926132E-06,0.000004528,0.9978680611,0.9809399247,0.0190600734,0.8200237751,0.1531575769,0.0268186796,0.2619878352,0.0265174862,0.2799052298,0.006704466,0.0008496565,0.0027305461,0.0107439319,0.0097429939,0.0003787789,0.0039617191,0.0035566334,0.0139319114,0.0070720343,0.0563704744,0.0565374419,0.8660880923,0.1689039618,0.5551064014,0.2578603327,0.0181292966,Clean clothes/Bottoms/jeans82.jpg
