,bottleneck_dir,bottom-primary-color-white,bottom-primary-color-beige,bottom-primary-color-black,bottom-primary-color-brown,bottom-primary-color-grey,bottom-primary-color-blue,bottom-primary-color-navy,bottom-primary-color-teal,bottom-primary-color-green,bottom-primary-color-olive,bottom-primary-color-pink,bottom-primary-color-red,bottom-primary-color-maroon,bottom-primary-color-purple,bottom-primary-color-orange,bottom-primary-color-yellow,bottom-secondary-color-white,bottom-secondary-color-beige,bottom-secondary-color-black,bottom-secondary-color-brown,bottom-secondary-color-grey,bottom-secondary-color-blue,bottom-secondary-color-navy,bottom-secondary-color-teal,bottom-secondary-color-green,bottom-secondary-color-olive,bottom-secondary-color-pink,bottom-secondary-color-red,bottom-secondary-color-maroon,bottom-secondary-color-purple,bottom-secondary-color-orange,bottom-secondary-color-yellow,bottom-secondary-color-none,bottom-type-long pants,bottom-type-shorts,bottom-material-denim/jeans,bottom-material-cotton,bottom-material-dry-fit,denim-style-ripped,denim-style-acid-wash,denim-style-washed,bottom-patterns-animal-print,bottom-patterns-argyle,bottom-patterns-horizontal-stripe,bottom-patterns-vertical-stripe,bottom-patterns-checkered,bottom-patterns-dotted,bottom-patterns-floral,bottom-patterns-plaid,bottom-style-cargo,bottom-style-dress,bottom-style-chinos,bottom-style-sweatpants,bottom-style-none,bottom-fit-skinny-fit,bottom-fit-slim-fit,bottom-fit-regular-fit,bottom-fit-baggy,dir
0,bottlenecks/Unlabelled Clothes/Bottoms/jeans395.jpg.txt,8.72815362527035E-05,0.0053110509,0.7388066649,0.004807231,0.0309643075,0.1767689735,0.031521447,0.0028391744,0.0004477889,0.0076947724,6.3543142459821E-05,8.76293688634178E-06,0.0001803887,0.0002644493,0.0002287895,5.36453399035963E-06,0.0001790316,5.7795791690296E-06,0.002103044,2.6536265067989E-05,0.0006881188,7.06369792169426E-06,6.50539504931658E-07,5.7894125347957E-05,7.27658971300116E-06,6.29892520009889E-06,1.79127146111568E-05,0.0003058405,1.18486548217334E-06,4.34037247032393E-05,2.68021449301159E-05,0.000007082,0.9965161085,0.9325768352,0.0674231797,0.7803618908,0.1841442287,0.0354938358,0.134451583,0.0008889469,0.5647457242,0.0013346635,0.0003222457,0.0023824037,0.0007058144,0.0004407594,4.28975872637238E-05,0.0009413392,0.0005803235,0.037393,0.052988261,0.014677099,0.0096852453,0.88525635,0.0537297688,0.5713240504,0.3580147624,0.0169314351,Unlabelled Clothes/Bottoms/jeans395.jpg
1,bottlenecks/Unlabelled Clothes/Bottoms/shorts73.jpg.txt,0.0654621348,0.2362260669,0.0789011344,0.036436487,0.1112692803,0.2085687518,0.0376657397,0.0185169075,0.0025068887,0.0247339364,0.0702815279,0.0178125445,0.0223559048,0.0087927785,0.0604115166,5.83855398872402E-05,0.0040671178,0.0001547665,0.0031609936,8.14417435321957E-05,0.0005067668,1.32149052660679E-05,3.13903838105034E-05,1.93913929251721E-05,1.52857251123351E-06,1.2103086191928E-05,0.0005353796,0.000476514,3.98085546748916E-07,0.0001734108,3.08544840663671E-05,0.0001032608,0.9906314611,0.0373317376,0.9626682401,0.7064269185,0.0769886076,0.2165843695,0.0084764827,0.0012084484,0.0506121926,0.0010978722,0.0005404619,0.000620156,0.0037248661,0.000789869,0.0016947557,0.0017598221,0.0002544488,0.0053759869,0.0041989544,0.8026102781,0.0345855616,0.1532292962,0.0224080589,0.9240874648,0.033987578,0.0195169114,Unlabelled Clothes/Bottoms/shorts73.jpg
2,bottlenecks/Unlabelled Clothes/Bottoms/shorts553.jpg.txt,0.0075144153,0.0439687073,0.1803930849,0.0344432108,0.0511632673,0.3791178465,0.1108807102,0.0617490374,0.0070385393,0.0199971665,0.0102661066,0.0309136715,0.0365922414,0.014334362,0.0115189664,0.0001087122,0.004408583,0.000152476,0.0061708349,0.0006622028,0.0076623387,0.0010184067,8.79323706612922E-05,9.73775677266531E-05,1.98071466002148E-05,0.000150898,0.0004531949,0.0019806563,1.54790941451211E-05,0.0007193355,0.0002782675,9.64316059253179E-05,0.9760258198,0.0308969934,0.9691030383,0.5389357805,0.4242073298,0.0368569456,0.0331439488,0.0015495083,0.0710972026,0.013657433,0.0062598749,0.0088289883,0.022468457,0.0028925678,0.0118285595,0.0031806552,0.0202587657,0.0327858031,0.0215529166,0.5707030892,0.0177290346,0.3572291732,0.0662041306,0.5166546106,0.3954827487,0.0216585509,Unlabelled Clothes/Bottoms/shorts553.jpg
3,bottlenecks/Unlabelled Clothes/Bottoms/chinos86.jpg.txt,0.5227426291,0.2831820548,0.0265407059,0.073411189,0.024040021,0.0098250965,0.0025251387,0.0060997414,0.0015504762,0.0225299392,0.0110889385,0.0002195563,0.0110485759,0.0011030725,0.0040708925,2.19679277506657E-05,0.0848067701,0.0003123871,0.0046236776,0.0008967222,0.0069238427,0.0003454389,3.13315867970232E-05,0.0002223706,3.14047319989186E-05,0.0001509235,0.0008371844,0.0011130328,1.33777193696005E-05,0.0037730231,0.0002378578,9.29724992602132E-05,0.8955876827,0.7050864697,0.29491359,0.3960407674,0.5432339907,0.0607252158,0,0,0,0.0146327391,0.0017460438,0.0101355342,0.0050101392,0.0053151743,0.0039461153,0.0021521973,0.0032243473,0.0609558262,0.1885493696,0.2312569767,0.1883201599,0.3309176266,0.01251831,0.6732791662,0.309764415,0.0044381027,Unlabelled Clothes/Bottoms/chinos86.jpg
4,bottlenecks/Unlabelled Clothes/Bottoms/chinos72.jpg.txt,0.972492218,0.0196760762,0.0013252134,0.0002952222,0.0015788922,0.000409488,0.0002878411,0.00034751,7.93786966823973E-05,0.0003356664,0.0016332925,3.38644022122025E-05,0.00111803,0.0003047012,8.05407325970009E-05,2.0346872133814E-06,0.0278339945,0.0001060908,0.0324909836,0.0016178268,0.0395112745,0.0015772694,3.53422615262389E-06,0.0005105474,0.0001575526,0.0009639365,0.0015402698,0.0031384262,8.0214194895234E-06,0.0024005731,0.0004775446,9.98745163087733E-05,0.8875623345,0.9868355989,0.0131644215,0.4264694154,0.2475707531,0.3259598613,0.0761720613,0.0055467207,0.0265010186,0.0271811895,0.0545643568,0.0055032838,0.0047616246,0.0322267562,0.0017390398,0.0031498459,0.0238140784,0.2321349978,0.3305531442,0.0163788535,0.064979285,0.3559538126,0.0917871743,0.4754063189,0.3933414221,0.0394650698,Unlabelled Clothes/Bottoms/chinos72.jpg
5,bottlenecks/Unlabelled Clothes/Bottoms/jeans345.jpg.txt,0.0713197812,0.0593903586,0.1881954074,0.0266275574,0.3694422543,0.0073531345,0.0319427662,0.0016040142,0.0167526137,0.0238667484,0.0280915871,0.0011728148,0.0241852254,0.1140619516,0.0359600149,3.38235113304108E-05,0.0050977864,0.0011382381,0.0302771553,0.0011104732,0.0086540207,9.13432377274148E-05,0.0001130709,9.53948911046609E-05,3.31660739902873E-05,0.0005310794,6.91027453285642E-05,0.001956457,2.49836903094547E-05,0.00023283,0.000192942,7.58643363951705E-05,0.9503060579,0.8944936395,0.1055063158,0.7316529155,0.1215393841,0.1468076408,0.101024121,0.0053249067,0.0131196482,0.0117769828,0.0022431316,0.0076978137,0.0331827216,0.0231131688,0.0053114975,0.0037220269,0.0201129597,0.0105467057,0.2088946551,0.0414600372,0.5384438634,0.2006547004,0.3469208181,0.31373474,0.3209160864,0.018428348,Unlabelled Clothes/Bottoms/jeans345.jpg
6,bottlenecks/Unlabelled Clothes/Bottoms/jeans1069.jpg.txt,0.006879888,0.0355995186,0.5109128952,0.0593681,0.2574583888,0.0027738588,0.0107043833,0.0005531083,0.0035201283,0.064916648,0.0100425892,0.0001429934,0.0260858294,0.008308799,0.0027061538,2.67070990958018E-05,0.0023785743,0.000015943,0.0025053988,1.4540640222549E-05,0.0003175612,4.26661108576809E-06,1.49560480622313E-06,1.86458182724891E-05,1.16277044526214E-06,1.51837139128475E-05,5.10938798470306E-06,5.91460811847355E-05,0.000000169,2.93342709483113E-05,8.9605009634397E-06,3.79978541786841E-06,0.9946206808,0.9748979807,0.0251020063,0.8575360775,0.1284495294,0.0140144061,0.031675566,0.0009737743,0.0065979394,0.0010798918,0.0007276114,0.0048357667,0.0025131304,0.0013437547,0.0009959888,0.0008829137,0.0013274311,0.0115090953,0.2393461168,0.1280058175,0.5613857508,0.0597531423,0.0903402716,0.5441880226,0.3413005173,0.02417114,Unlabelled Clothes/Bottoms/jeans1069.jpg
7,bottlenecks/Unlabelled Clothes/Bottoms/shorts282.jpg.txt,0.0009965476,0.005331066,0.9210004807,0.0024381201,0.0112526789,0.0098838601,0.020681994,0.0111609641,0.0005404836,0.0015667588,0.0085720038,0.0022956601,0.00215646,0.0008556494,0.0012562461,1.10436649265466E-05,0.0108195823,0.0001033215,0.0106975231,0.0001266866,0.0056933449,0.0013309264,5.65737318538595E-05,1.42032449730323E-05,5.15736655870569E-06,0.0001662431,0.0014449558,0.0024782373,1.26510190057161E-06,0.0008685093,0.0007412577,0.0001130463,0.9653391242,0.004505849,0.9954941273,0.2161500007,0.7253529429,0.0584971048,0,0,0,0.002876315,0.0011681475,0.0026666096,0.0064440132,0.0027804237,0.0082747247,0.00044254,0.0006155297,0.0292155668,0.0045847585,0.2727002501,0.0107566025,0.6827428341,0.0603722073,0.7533310056,0.1740226448,0.0122741461,Unlabelled Clothes/Bottoms/shorts282.jpg
8,bottlenecks/Unlabelled Clothes/Bottoms/jeans435.jpg.txt,0.0001890469,0.0002462562,0.0772746652,0.0018497406,0.0095026083,0.6262625456,0.2757071257,0.000383356,0.0007453022,0.0002643605,9.23714687814936E-05,9.55637660808861E-05,0.0005567375,0.0058635254,0.0009542776,1.24253465401125E-05,5.34457685716916E-05,2.40844037762145E-05,0.0004632822,0.0001464786,0.0008438014,3.23629064951092E-05,1.18525429115834E-06,0.0001172551,5.46751971342019E-06,1.72744257724844E-05,2.07202974706888E-05,5.79717998334672E-05,1.48465060192393E-05,0.0001215522,8.62017113831826E-05,2.67342129518511E-05,0.9979673028,0.958937645,0.0410624221,0.8693568707,0.0974791571,0.0331639983,0.2288595289,0.0062646875,0.322350651,0.0064551202,0.001909635,0.0062662754,0.039889548,0.0054359613,0.0002787234,0.0051080147,0.0064916089,0.0035148354,0.0088231172,0.0090666441,0.0030241492,0.9755712152,0.3013163805,0.3847287297,0.3066901267,0.0072647277,Unlabelled Clothes/Bottoms/jeans435.jpg
9,bottlenecks/Unlabelled Clothes/Bottoms/chinos658.jpg.txt,0.1162974387,0.4826445282,0.0522644073,0.0823278502,0.0188465025,0.0269454475,0.0251050442,0.0079909852,0.0048767244,0.0610197373,0.0172818303,0.0010817541,0.016493015,0.0164137539,0.0693787187,0.0010323729,0.0551288538,0.0001959562,0.0091595547,0.0029492986,0.036772009,0.0009356628,4.20822034357116E-05,0.0005971717,4.9545484216651E-05,0.0001781136,0.0007763974,0.0027004906,1.44884979818016E-05,0.0089641018,0.0002669825,6.98876538081095E-05,0.8811994195,0.4425011277,0.5574988127,0.1076336429,0.8291034102,0.0632630289,0,0,0,0.023642255,0.0096421642,0.0067989742,0.0247608721,0.0574838258,0.016046891,0.007047676,0.0114866393,0.0348979719,0.2541312873,0.1916906387,0.1663314551,0.3529486358,0.0295456406,0.4932922423,0.4551666379,0.0219955388,Unlabelled Clothes/Bottoms/chinos658.jpg
