,bottleneck_dir,shoes-primary-color-white,shoes-primary-color-beige,shoes-primary-color-black,shoes-primary-color-brown,shoes-primary-color-grey,shoes-primary-color-blue,shoes-primary-color-navy,shoes-primary-color-teal,shoes-primary-color-green,shoes-primary-color-olive,shoes-primary-color-pink,shoes-primary-color-red,shoes-primary-color-maroon,shoes-primary-color-purple,shoes-primary-color-orange,shoes-primary-color-yellow,shoes-secondary-color-white,shoes-secondary-color-beige,shoes-secondary-color-black,shoes-secondary-color-brown,shoes-secondary-color-grey,shoes-secondary-color-blue,shoes-secondary-color-navy,shoes-secondary-color-teal,shoes-secondary-color-green,shoes-secondary-color-olive,shoes-secondary-color-pink,shoes-secondary-color-red,shoes-secondary-color-maroon,shoes-secondary-color-purple,shoes-secondary-color-orange,shoes-secondary-color-yellow,shoes-secondary-color-none,shoes-type-boat/loafer,shoes-type-boots,shoes-type-sneakers,shoes-type-sport,shoes-type-sandals,shoes-type-dress-shoes,shoes-type-casual-shoes,shoes-others-toe-cap,shoes-others-gum-sole,shoes-others-with-logo,shoes-others-high-cut,shoes-materials-leather,shoes-materials-canvas,shoes-materials-suede,shoes-materials-rubber,dir
0,bottlenecks/Unlabelled Clothes/Shoes/shoes3224.jpg.txt,0.006625128,0.0021102626,0.0250334479,0.0178942736,0.0486861132,0.0570411645,0.0511311628,0.0070907716,0.0482325107,0.049796354,0.005475041,0.230831027,0.10998936,0.0181971267,0.0018488044,0.3200174272,0.6788527369,0.000849604,0.043055702,0.0015979869,0.0455049276,0.0153129417,0.0897221193,0.0031747394,0.0013589036,2.08149194804719E-05,0.0011137956,0.1070244312,0.0052454919,0.0004998331,1.99945225176634E-05,0.0014527692,0.0051931585,0.0001449216,0.0023796835,0.4884203374,0.5074419975,0.0013546065,4.65293960587587E-05,0.0002120178,0.0714144409,0.1398277879,0.9805213213,0.1013486832,0.0152107403,0.0587275848,0.436894834,0.006422325,Unlabelled Clothes/Shoes/shoes3224.jpg
1,bottlenecks/Unlabelled Clothes/Shoes/shoes2333.jpg.txt,0.0758690685,0.0370722599,0.143681556,0.0722655505,0.1682628542,0.0695580021,0.030118892,0.0293533131,0.1146529764,0.073427096,0.0307521336,0.0394762158,0.024772577,0.0142090442,0.0318625458,0.0446658917,0.4138588309,0.0133669041,0.0631973296,0.012981738,0.0951109007,0.07936351,0.1023203507,0.0189407319,0.0114119546,0.0040703681,0.0025174324,0.0113787362,0.0131367389,0.0043467702,0.0002644398,0.0119910045,0.1417422295,0.0002771865,0.0213311985,0.3596863747,0.6059598327,0.0064779217,0.000569477,0.0056979833,0.0340644158,0.1129028052,0.8696699739,0.2425518185,0.2513659894,0.0379975215,0.1294944584,0.0030498698,Unlabelled Clothes/Shoes/shoes2333.jpg
2,bottlenecks/Unlabelled Clothes/Shoes/shoes162.jpg.txt,0.0134004997,0.001857549,0.1739957482,0.2020486295,0.01232595,0.0201326162,0.044164747,0.000937652,0.0146373948,0.0117087038,0.005522036,0.0846418515,0.2459584624,0.0834714323,0.0043966817,0.0808001608,0.3406961262,0.0019051777,0.1993589103,0.0899043903,0.029062435,0.0177047811,0.1133966744,0.0016417614,0.0007280632,6.65526822558604E-05,0.0005239364,0.0036943895,0.001873608,7.20210882718675E-05,1.37518293286121E-06,0.0025569808,0.1968127042,0.0126427719,0.2009154111,0.6004055142,0.1588869989,0.0076042069,0.0046728239,0.0148722464,0.0144302296,0.0511303395,0.430672586,0.3010464013,0.1935899258,0.0162144825,0.0567642115,0.0124448407,Unlabelled Clothes/Shoes/shoes162.jpg
3,bottlenecks/Unlabelled Clothes/Shoes/shoes2385.jpg.txt,0.0061313296,0.0016363774,0.2486329526,0.5873952508,0.1243446618,0.0007270333,0.0039276667,0.0006908397,0.0029072207,0.0058403062,0.0027752509,0.0007217141,0.0104772802,0.0034090402,0.00029266,9.03788604773581E-05,0.1059869975,0.000551085,0.3963369727,0.0082863076,0.0156695414,0.0013808239,0.0022019218,9.81121702352539E-05,0.0004777528,0.0002431498,0.0001998793,0.000094891,0.0001828464,6.06060484642512E-06,2.47811602349657E-08,0.0002587166,0.4680248499,0.3656021357,0.0136522399,0.043185588,0.0205754004,0.0583609864,0.2942079008,0.204415679,0.025262747,0.0075033223,0.0480540991,0.0696348473,0.4827958643,0.0178195219,0.0875442252,0.099182941,Unlabelled Clothes/Shoes/shoes2385.jpg
4,bottlenecks/Unlabelled Clothes/Shoes/shoes193.jpg.txt,0.0184532609,0.00001134,0.1325966269,0.0412672944,0.6460778117,0.0015279874,0.0289541334,5.55014266865328E-05,0.0008836484,0.0027551188,0.00078009,0.0025542136,0.1227903739,0.0002794474,3.26267127093161E-06,0.0010099005,0.1509365141,3.51225253325538E-07,0.6620935798,0.0003143402,0.0051489058,0.0049275141,0.1580547988,2.64951063400076E-06,0.000465652,1.01967916634749E-05,5.3782637223776E-06,3.580320844776E-05,1.07105715869693E-05,2.94411217627299E-10,5.33226553189881E-11,8.9529828983359E-05,0.0179041401,0.5703500509,0.0072697052,0.0927942097,0.1108524501,0.1097208709,0.1048315987,0.0041810456,0.2009700686,0.0003555532,0.2968327701,0.0071417037,0.0129788565,0.0428735316,0.1045867428,0.1481104195,Unlabelled Clothes/Shoes/shoes193.jpg
5,bottlenecks/Unlabelled Clothes/Shoes/shoes2192.jpg.txt,0.0006272104,0.000013983,0.9477176666,0.0308751296,0.0085307406,0.0002402133,0.0051295119,0.000080211,0.0002374131,0.0011931473,0.000456268,0.0001826815,0.0040055458,0.0006280282,2.03266736207297E-05,6.20088540017605E-05,0.0932778642,3.23793210554868E-05,0.0443780497,0.2514111698,0.0205443688,0.0027073838,0.0272613447,4.50832885690033E-05,0.0006543733,0.0002127745,0.0003424078,7.95989399193786E-05,0.0009120016,8.87768965185387E-06,4.33142908207174E-08,0.0008711989,0.5572611094,0.7920616865,0.0032378305,0.0141128767,0.0044872789,0.0079678269,0.1407322288,0.0374004133,0.0100829583,0.0017017929,0.0206458643,0.0383483842,0.7157386541,0.0191698112,0.0672372282,0.01704574,Unlabelled Clothes/Shoes/shoes2192.jpg
6,bottlenecks/Unlabelled Clothes/Shoes/shoes975.jpg.txt,0.0910587683,0.00212811,0.4513531029,0.1751042902,0.0623238198,0.0128831342,0.0092134699,0.0121365888,0.0129447505,0.0268792287,0.0034052473,0.0883272216,0.0284098238,0.0004232017,0.0045455783,0.0188635942,0.4262988269,0.0003970015,0.0623710975,0.1621685624,0.0270723403,0.0064113601,0.182039842,0.0002369066,0.0012812745,0.0002497529,0.000270624,0.0014102006,0.0001564642,2.21236928155122E-06,3.18517805908414E-07,0.0030090332,0.1266241819,0.0076188045,0.0465435199,0.7178320885,0.1186465472,0.0697876513,0.0048237406,0.0347476713,0.0727836639,0.0339009911,0.3051424623,0.6750314236,0.0356701761,0.2581084669,0.0969527438,0.149753511,Unlabelled Clothes/Shoes/shoes975.jpg
7,bottlenecks/Unlabelled Clothes/Shoes/shoes1043.jpg.txt,0.0016271635,0.0031980458,0.0105970772,0.0515822545,0.0054161381,0.0184941087,0.0081624193,0.0046184487,0.0178734437,0.0378955528,0.0093905302,0.5245500207,0.0316428766,0.0294129867,0.0324434116,0.213095516,0.3472757936,0.0218050163,0.1456721574,0.0063581732,0.0982790664,0.0145812295,0.15024288,0.0547698736,0.0038574846,7.45930956327356E-05,0.0007493106,0.1183260158,0.0090196412,0.0217383113,0.0007212152,0.0027420879,0.0037872237,0.000111854,0.0089668771,0.7230219245,0.2656623125,0.0013248362,3.85877974622417E-05,0.0008735339,0.0463295951,0.1163659096,0.9915498495,0.2931248546,0.0056670085,0.0442807078,0.7748255134,0.0169829708,Unlabelled Clothes/Shoes/shoes1043.jpg
8,bottlenecks/Unlabelled Clothes/Shoes/shoes2395.jpg.txt,0.0001690563,0.0008843744,0.0059055449,0.0359640643,0.0011266626,0.0036073513,0.0008320346,0.0030248356,0.0037573974,0.0249284711,0.0012607978,0.7990072966,0.0799872801,0.0077429148,0.0062848767,0.0255171061,0.4222409129,0.004879754,0.1922028363,0.0122200921,0.0696214885,0.0133589711,0.0595451929,0.0589340702,0.0033843354,0.0001127903,0.0007897406,0.0467908531,0.0498144478,0.0506855957,0.0014763883,0.0042077648,0.0097347256,0.0002788569,0.0851102695,0.5835337043,0.3268405199,0.0005345458,0.000550678,0.0031514906,0.0173821133,0.0856138915,0.9249436259,0.1939053982,0.0376322605,0.0060480698,0.8268806338,0.0014404716,Unlabelled Clothes/Shoes/shoes2395.jpg
9,bottlenecks/Unlabelled Clothes/Shoes/shoes2281.jpg.txt,0.0049989787,0.0012086603,0.0344761834,0.1996537298,0.0012315209,0.0051205042,0.0021191803,0.0118961604,0.0313443132,0.2329659909,0.0031982027,0.0213073846,0.0383696854,0.0092329504,0.0006285172,0.4022479653,0.3459998965,0.0018178438,0.0477166027,0.3372710347,0.0822537839,0.1001559645,0.0371655151,0.0041549178,0.0158377774,2.6076124413521E-05,0.0028466985,0.0175578035,0.0016262452,0.0001206336,1.11138763259078E-06,0.0029405416,0.0025075085,0.0001027507,0.0058512953,0.8989617229,0.0841364264,0.0094338628,3.87371183023788E-05,0.0014751864,0.0214870255,0.3298003972,0.8998942375,0.2568868697,0.0061134333,0.1646738797,0.077660799,0.0742388889,Unlabelled Clothes/Shoes/shoes2281.jpg
